Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c
0dtbZ0000002yyAQAQ,0Z4bZ0000000HdhSAE,Licensing,0eubZ0000000Ux9QAE,"Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.",Licensing,,Vishwantha Gandloju,"Licensing;Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.;Licensing","Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.;Licensing"
0dtbZ0000002yyBQAQ,0Z4bZ0000000HdhSAE,Licensing,0eubZ0000000UxAQAU,Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.,Licensing,,Vishwantha Gandloju,Licensing;Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.;Licensing,Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.;Licensing
0dtbZ0000002yyCQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxBQAU,"Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.",Hygiene,,Vishwantha Gandloju,"Hygiene;Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.;Hygiene","Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.;Hygiene"
0dtbZ0000002yyDQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxCQAU,Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.,Hygiene,,Vishwantha Gandloju,Hygiene;Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.;Hygiene,Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.;Hygiene
0dtbZ0000002yyEQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxDQAU,Adequate hand washing stations are conveniently located and equipped with all required supplies.,Hygiene,,Vishwantha Gandloju,Hygiene;Adequate hand washing stations are conveniently located and equipped with all required supplies.;Hygiene,Adequate hand washing stations are conveniently located and equipped with all required supplies.;Hygiene
0dtbZ0000002yyFQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxEQAU,"Foot baths are conveniently located, equipped with all the required supplies, and used as intended.",Hygiene,,Vishwantha Gandloju,"Hygiene;Foot baths are conveniently located, equipped with all the required supplies, and used as intended.;Hygiene","Foot baths are conveniently located, equipped with all the required supplies, and used as intended.;Hygiene"
0dtbZ0000002yyGQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxFQAU,"Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.",Hygiene,,Vishwantha Gandloju,"Hygiene;Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.;Hygiene","Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.;Hygiene"
0dtbZ0000002yyHQAQ,0Z4bZ0000000HdiSAE,Hygiene,0eubZ0000000UxGQAU,"Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.",Hygiene,,Vishwantha Gandloju,"Hygiene;Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.;Hygiene","Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.;Hygiene"
0dtbZ0000002yyIQAQ,0Z4bZ0000000HdjSAE,Pest control,0eubZ0000000UxHQAU,Pest control program is adequate and records are maintained.,Pest control,,Vishwantha Gandloju,Pest control;Pest control program is adequate and records are maintained.;Pest control,Pest control program is adequate and records are maintained.;Pest control
0dtbZ0000002yyJQAQ,0Z4bZ0000000HdkSAE,Interior,0eubZ0000000UxIQAU,Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.,Interior,,Vishwantha Gandloju,Interior;Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.;Interior,Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.;Interior
0dtbZ0000002yyKQAQ,0Z4bZ0000000HdkSAE,Interior,0eubZ0000000UxJQAU,"Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.",Interior,,Vishwantha Gandloju,"Interior;Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.;Interior","Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.;Interior"
0dtbZ0000002yyLQAQ,0Z4bZ0000000HdkSAE,Interior,0eubZ0000000UxKQAU,"Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.",Interior,,Vishwantha Gandloju,"Interior;Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.;Interior","Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.;Interior"
0dtbZ0000002yyMQAQ,0Z4bZ0000000HdkSAE,Interior,0eubZ0000000UxLQAU,"Ventilation is adequate to prevent odours, condensation and dust accumulation.",Interior,,Vishwantha Gandloju,"Interior;Ventilation is adequate to prevent odours, condensation and dust accumulation.;Interior","Ventilation is adequate to prevent odours, condensation and dust accumulation.;Interior"
0dtbZ0000002yyNQAQ,0Z4bZ0000000HdkSAE,Interior,0eubZ0000000UxMQAU,Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.,Interior,,Vishwantha Gandloju,Interior;Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.;Interior,Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.;Interior
0dtbZ0000002yyOQAQ,0Z4bZ0000000HdlSAE,Sanitation,0eubZ0000000UxNQAU,"Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.",Sanitation,,Vishwantha Gandloju,"Sanitation;Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.;Sanitation","Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.;Sanitation"
0dtbZ0000002yyPQAQ,0Z4bZ0000000HdlSAE,Sanitation,0eubZ0000000UxOQAU,"Sanitation program is adequate, being followed and records are maintained.",Sanitation,,Vishwantha Gandloju,"Sanitation;Sanitation program is adequate, being followed and records are maintained.;Sanitation","Sanitation program is adequate, being followed and records are maintained.;Sanitation"
0dtbZ0000002yyQQAQ,0Z4bZ0000000HdlSAE,Sanitation,0eubZ0000000UxPQAU,Sewage and waste disposal is effective and meets all health and pollution regulations.,Sanitation,,Vishwantha Gandloju,Sanitation;Sewage and waste disposal is effective and meets all health and pollution regulations.;Sanitation,Sewage and waste disposal is effective and meets all health and pollution regulations.;Sanitation
0dtbZ0000002yyRQAQ,0Z4bZ0000000HdlSAE,Sanitation,0eubZ0000000UxQQAU,Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.,Sanitation,,Vishwantha Gandloju,Sanitation;Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.;Sanitation,Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.;Sanitation
0dtbZ0000002yySQAQ,0Z4bZ0000000HdmSAE,Exterior,0eubZ0000000UxRQAU,Exterior of the dairy plant is free of potential sources of contamination.,Exterior,,Vishwantha Gandloju,Exterior;Exterior of the dairy plant is free of potential sources of contamination.;Exterior,Exterior of the dairy plant is free of potential sources of contamination.;Exterior
0dtbZ0000002yyTQAQ,0Z4bZ0000000HdnSAE,Ingredients,0eubZ0000000UxSQAU,All ingredients and supplies protected from contamination during storage.,Ingredients,,Vishwantha Gandloju,Ingredients;All ingredients and supplies protected from contamination during storage.;Ingredients,All ingredients and supplies protected from contamination during storage.;Ingredients
0dtbZ0000002yyUQAQ,0Z4bZ0000000HdnSAE,Ingredients,0eubZ0000000UxTQAU,"Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.",Ingredients,,Vishwantha Gandloju,"Ingredients;Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.;Ingredients","Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.;Ingredients"
0dtbZ0000002yyVQAQ,0Z4bZ0000000HdoSAE,Packaging and Labelling,0eubZ0000000UxUQAU,Products are labelled adequately.,Packaging and Labelling,,Vishwantha Gandloju,Packaging and Labelling;Products are labelled adequately.;Packaging and Labelling,Products are labelled adequately.;Packaging and Labelling
0dtbZ0000002yyWQAQ,0Z4bZ0000000HdoSAE,Packaging and Labelling,0eubZ0000000UxVQAU,Products are packaged adequately.,Packaging and Labelling,,Vishwantha Gandloju,Packaging and Labelling;Products are packaged adequately.;Packaging and Labelling,Products are packaged adequately.;Packaging and Labelling
0dtbZ0000002yyXQAQ,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxWQAU,"Written recall and traceability protocols are up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Written recall and traceability protocols are up to date, being followed and records are maintained.;Programs and plans","Written recall and traceability protocols are up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyYQAQ,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxXQAU,"Raw ingredient protocols up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Raw ingredient protocols up to date, being followed and records are maintained.;Programs and plans","Raw ingredient protocols up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyZQAQ,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxYQAU,"Monthly testing program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Monthly testing program is up to date, being followed and records are maintained.;Programs and plans","Monthly testing program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyaQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxZQAU,"Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.;Programs and plans","Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yybQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxaQAE,"Product processing procedures are up to date, being followed and records maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Product processing procedures are up to date, being followed and records maintained.;Programs and plans","Product processing procedures are up to date, being followed and records maintained.;Programs and plans"
0dtbZ0000002yycQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxbQAE,"Transportation program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Transportation program is up to date, being followed and records are maintained.;Programs and plans","Transportation program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yydQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxcQAE,"Worker training program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Worker training program is up to date, being followed and records are maintained.;Programs and plans","Worker training program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyeQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxdQAE,"Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.;Programs and plans","Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyfQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxeQAE,"Allergen Control Program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Allergen Control Program is up to date, being followed and records are maintained.;Programs and plans","Allergen Control Program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yygQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxfQAE,"Personnel Hygiene Program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Personnel Hygiene Program is up to date, being followed and records are maintained.;Programs and plans","Personnel Hygiene Program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyhQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxgQAE,"Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.;Programs and plans","Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyiQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxhQAE,"Glass breakage Control Program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Glass breakage Control Program is up to date, being followed and records are maintained.;Programs and plans","Glass breakage Control Program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yyjQAA,0Z4bZ0000000HdpSAE,Programs and plans,0eubZ0000000UxiQAE,"Product Labelling Program is up to date, being followed and records are maintained.",Programs and plans,,Vishwantha Gandloju,"Programs and plans;Product Labelling Program is up to date, being followed and records are maintained.;Programs and plans","Product Labelling Program is up to date, being followed and records are maintained.;Programs and plans"
0dtbZ0000002yykQAA,0Z4bZ0000000HdqSAE,Product Testing,0eubZ0000000UxjQAE,Product test results are satisfactory.,Product Testing,,Vishwantha Gandloju,Product Testing;Product test results are satisfactory.;Product Testing,Product test results are satisfactory.;Product Testing
0dtbZ0000002yylQAA,0Z4bZ0000000HdrSAE,Environmental Swabbing,0eubZ0000000UxkQAE,Environmental swab results are satisfactory.,Environmental Swabbing,,Vishwantha Gandloju,Environmental Swabbing;Environmental swab results are satisfactory.;Environmental Swabbing,Environmental swab results are satisfactory.;Environmental Swabbing
0dtbZ0000002yzNQAQ,0Z4bZ0000000HdZSAU,Approved activities,0eubZ0000000V2BQAU,Unapproved product or equipment.,Approved activities,"Products, processes, equipment and rooms are approved.",Vishwantha Gandloju,"Approved activities;Unapproved product or equipment.;Approved activities;Products, processes, equipment and rooms are approved.",Unapproved product or equipment.;Approved activities
0dtbZ0000002yzOQAQ,0Z4bZ0000000HdZSAU,Approved activities,0eubZ0000000V2CQAU,Unapproved operation.,Approved activities,"Products, processes, equipment and rooms are approved.",Vishwantha Gandloju,"Approved activities;Unapproved operation.;Approved activities;Products, processes, equipment and rooms are approved.",Unapproved operation.;Approved activities
0dtbZ0000002yzPQAQ,0Z4bZ0000000HdZSAU,Approved activities,0eubZ0000000V2DQAU,Unapproved room or area.,Approved activities,"Products, processes, equipment and rooms are approved.",Vishwantha Gandloju,"Approved activities;Unapproved room or area.;Approved activities;Products, processes, equipment and rooms are approved.",Unapproved room or area.;Approved activities
0dtbZ0000002yzQQAQ,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000V2EQAU,Excess or extraneous water in product.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",Vishwantha Gandloju,"Product safety and quality;Excess or extraneous water in product.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.",Excess or extraneous water in product.;Product safety and quality
0dtbZ0000002yzRQAQ,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000V2FQAU,Adulteration of product.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",Vishwantha Gandloju,"Product safety and quality;Adulteration of product.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.",Adulteration of product.;Product safety and quality
0dtbZ0000002yzSQAQ,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000V2GQAU,Presence of unwanted pathogen.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",Vishwantha Gandloju,"Product safety and quality;Presence of unwanted pathogen.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.",Presence of unwanted pathogen.;Product safety and quality
0dtbZ0000002yzTQAQ,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000V2HQAU,Bacterial levels in excess of regulatory limit.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",Vishwantha Gandloju,"Product safety and quality;Bacterial levels in excess of regulatory limit.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.",Bacterial levels in excess of regulatory limit.;Product safety and quality
0dtbZ0000002yzUQAQ,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000V2IQAU,"Products processed, stored, or handled in a way that can cause contamination.",Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",Vishwantha Gandloju,"Product safety and quality;Products processed, stored, or handled in a way that can cause contamination.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.","Products processed, stored, or handled in a way that can cause contamination.;Product safety and quality"
0dtbZ0000002yzVQAQ,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000V2JQAU,Milk sources are not from prescribed animal(s).,Raw milk receiving,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Vishwantha Gandloju,"Raw milk receiving;Milk sources are not from prescribed animal(s).;Raw milk receiving;Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Milk sources are not from prescribed animal(s).;Raw milk receiving
