Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c
0dtbZ0000002yxlQAA,0Z4bZ0000000HdZSAU,Approved activities,0eubZ0000000UwlQAE,"Products, processes, equipment and rooms are approved.",Approved activities,,Vishwantha Gandloju,"Approved activities;Products, processes, equipment and rooms are approved.;Approved activities","Products, processes, equipment and rooms are approved.;Approved activities"
0dtbZ0000002yxmQAA,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000UwmQAE,"Products are free of extraneous water, adulteration and contamination.",Product safety and quality,,Vishwantha Gandloju,"Product safety and quality;Products are free of extraneous water, adulteration and contamination.;Product safety and quality","Products are free of extraneous water, adulteration and contamination.;Product safety and quality"
0dtbZ0000002yxnQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwnQAE,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Raw milk receiving,,Vishwantha Gandloju,"Raw milk receiving;Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving","Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving"
0dtbZ0000002yxoQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwoQAE,Containers used for raw milk and products are cleaned and sanitized at the plant.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving,Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving
0dtbZ0000002yxpQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwpQAE,Raw milk trucks are cleaned and sanitized at the dairy plant.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving,Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving
0dtbZ0000002yxqQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwqQAE,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving
0dtbZ0000002yxrQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwrQAE,All milk has been filtered or clarified prior to pasteurization.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving,All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving
0dtbZ0000002yxsQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwsQAE,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving
0dtbZ0000002yxtQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000V8fQAE,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.,Raw milk receiving,,Vishwantha Gandloju,Raw milk receiving;Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving
0dtbZ0000002yxuQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwtQAE,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.",Raw milk receiving,,Vishwantha Gandloju,"Raw milk receiving;Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving","Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving"
0dtbZ0000002yxvQAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000UwuQAE,All products are pasteurized.,Pasteurization - Vat/holder,,Vishwantha Gandloju,Pasteurization - Vat/holder;All products are pasteurized.;Pasteurization - Vat/holder,All products are pasteurized.;Pasteurization - Vat/holder
0dtbZ0000002yxwQAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000UwvQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder,,Vishwantha Gandloju,Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder
0dtbZ0000002yxxQAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000UwwQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - Vat/holder,,Vishwantha Gandloju,"Pasteurization - Vat/holder;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - Vat/holder","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - Vat/holder"
0dtbZ0000002yxyQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000UwxQAE,All products are pasteurized.,Pasteurization - HTST,,Vishwantha Gandloju,Pasteurization - HTST;All products are pasteurized.;Pasteurization - HTST,All products are pasteurized.;Pasteurization - HTST
0dtbZ0000002yxzQAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000UwyQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST,,Vishwantha Gandloju,Pasteurization - HTST;Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - HTST,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - HTST
0dtbZ0000002yy0QAA,0Z4bZ0000000HddSAE,Pasteurization - HTST,0eubZ0000000UwzQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - HTST,,Vishwantha Gandloju,"Pasteurization - HTST;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - HTST","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - HTST"
0dtbZ0000002yy1QAA,0Z4bZ0000000HdeSAE,Pasteurization - UHT,0eubZ0000000Ux0QAE,All products are pasteurized.,Pasteurization - UHT,,Vishwantha Gandloju,Pasteurization - UHT;All products are pasteurized.;Pasteurization - UHT,All products are pasteurized.;Pasteurization - UHT
0dtbZ0000002yy2QAA,0Z4bZ0000000HdeSAE,Pasteurization - UHT,0eubZ0000000Ux1QAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - UHT,,Vishwantha Gandloju,Pasteurization - UHT;Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - UHT,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - UHT
0dtbZ0000002yy3QAA,0Z4bZ0000000HdeSAE,Pasteurization - UHT,0eubZ0000000Ux2QAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - UHT,,Vishwantha Gandloju,"Pasteurization - UHT;Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - UHT","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - UHT"
0dtbZ0000002yy4QAA,0Z4bZ0000000HdfSAE,Pasteurization - General,0eubZ0000000Ux3QAE,Pasteurized dairy products are being sold or supplied.,Pasteurization - General,,Vishwantha Gandloju,Pasteurization - General;Pasteurized dairy products are being sold or supplied.;Pasteurization - General,Pasteurized dairy products are being sold or supplied.;Pasteurization - General
0dtbZ0000002yy5QAA,0Z4bZ0000000HdfSAE,Pasteurization - General,0eubZ0000000Ux4QAE,Raw milk cheeses being sold or supplied are aged for the minimum 60 days.,Pasteurization - General,,Vishwantha Gandloju,Pasteurization - General;Raw milk cheeses being sold or supplied are aged for the minimum 60 days.;Pasteurization - General,Raw milk cheeses being sold or supplied are aged for the minimum 60 days.;Pasteurization - General
0dtbZ0000002yy6QAA,0Z4bZ0000000HdgSAE,Equipment,0eubZ0000000Ux5QAE,"Equipment is clean, approved, sanitary, and maintained in good working condition.",Equipment,,Vishwantha Gandloju,"Equipment;Equipment is clean, approved, sanitary, and maintained in good working condition.;Equipment","Equipment is clean, approved, sanitary, and maintained in good working condition.;Equipment"
0dtbZ0000002yy7QAA,0Z4bZ0000000HdgSAE,Equipment,0eubZ0000000Ux6QAE,"Coolers are clean, approved, sanitary, and maintained in good working condition.",Equipment,,Vishwantha Gandloju,"Equipment;Coolers are clean, approved, sanitary, and maintained in good working condition.;Equipment","Coolers are clean, approved, sanitary, and maintained in good working condition.;Equipment"
0dtbZ0000002yy8QAA,0Z4bZ0000000HdgSAE,Equipment,0eubZ0000000Ux7QAE,"Freezers are clean, approved, sanitary, and maintained in good working condition.",Equipment,,Vishwantha Gandloju,"Equipment;Freezers are clean, approved, sanitary, and maintained in good working condition.;Equipment","Freezers are clean, approved, sanitary, and maintained in good working condition.;Equipment"
0dtbZ0000002yy9QAA,0Z4bZ0000000HdhSAE,Licensing,0eubZ0000000Ux8QAE,Licence to operate a dairy plant is valid and is available in a conspicuous location.,Licensing,,Vishwantha Gandloju,Licensing;Licence to operate a dairy plant is valid and is available in a conspicuous location.;Licensing,Licence to operate a dairy plant is valid and is available in a conspicuous location.;Licensing
