Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000IgDUAU,0eubZ0000000V8fQAE,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.,Raw milk receiving,,0fCbZ0000000G25UAE,97,Chandrahas Bireddy,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving;97,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving,97;Milk Industry Standards Regulation
0fMbZ0000000IgEUAU,0eubZ0000000UwtQAE,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.",Raw milk receiving,,0fCbZ0000000G3JUAU,Division 1.2,Chandrahas Bireddy,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving;Division 1.2","Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving",Division 1.2;Milk Industry Standards Regulation
0fMbZ0000000IgFUAU,0eubZ0000000UwuQAE,All products are pasteurized.,Pasteurization - Vat/holder,,0fCbZ0000000G3KUAU,Part 6,Chandrahas Bireddy,All products are pasteurized.;Pasteurization - Vat/holder;Part 6,All products are pasteurized.;Pasteurization - Vat/holder,Part 6;Milk Industry Standards Regulation
0fMbZ0000000IgGUAU,0eubZ0000000UwvQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder,,0fCbZ0000000G27UAE,100,Chandrahas Bireddy,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder;100,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder,100;Milk Industry Standards Regulation
0fMbZ0000000IgHUAU,0eubZ0000000UwwQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - Vat/holder,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - Vat/holder;88","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - Vat/holder",88;Milk Industry Standards Regulation
0fMbZ0000000IgIUAU,0eubZ0000000UwxQAE,All products are pasteurized.,Pasteurization - HTST,,0fCbZ0000000G2CUAU,108,Chandrahas Bireddy,All products are pasteurized.;Pasteurization - HTST;108,All products are pasteurized.;Pasteurization - HTST,108;Milk Industry Standards Regulation
0fMbZ0000000IgJUAU,0eubZ0000000UwyQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST,,0fCbZ0000000G29UAE,103,Chandrahas Bireddy,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - HTST;103,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - HTST,103;Milk Industry Standards Regulation
0fMbZ0000000IgKUAU,0eubZ0000000UwzQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - HTST,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - HTST;88","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - HTST",88;Milk Industry Standards Regulation
0fMbZ0000000IgLUAU,0eubZ0000000Ux0QAE,All products are pasteurized.,Pasteurization - UHT,,0fCbZ0000000G2DUAU,111,Chandrahas Bireddy,All products are pasteurized.;Pasteurization - UHT;111,All products are pasteurized.;Pasteurization - UHT,111;Milk Industry Standards Regulation
0fMbZ0000000IgMUAU,0eubZ0000000Ux1QAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - UHT,,0fCbZ0000000G2AUAU,106,Chandrahas Bireddy,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - UHT;106,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - UHT,106;Milk Industry Standards Regulation
0fMbZ0000000IgNUAU,0eubZ0000000Ux2QAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - UHT,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - UHT;88","Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - UHT",88;Milk Industry Standards Regulation
0fMbZ0000000IgOUAU,0eubZ0000000Ux3QAE,Pasteurized dairy products are being sold or supplied.,Pasteurization - General,,0fCbZ0000000G1aUAE,6,Chandrahas Bireddy,Pasteurized dairy products are being sold or supplied.;Pasteurization - General;6,Pasteurized dairy products are being sold or supplied.;Pasteurization - General,6;Milk Industry Act
0fMbZ0000000IgPUAU,0eubZ0000000Ux4QAE,Raw milk cheeses being sold or supplied are aged for the minimum 60 days.,Pasteurization - General,,0fCbZ0000000G2hUAE,6(2),Chandrahas Bireddy,Raw milk cheeses being sold or supplied are aged for the minimum 60 days.;Pasteurization - General;6(2),Raw milk cheeses being sold or supplied are aged for the minimum 60 days.;Pasteurization - General,6(2);Milk Industry Act
0fMbZ0000000IgQUAU,0eubZ0000000Ux5QAE,"Equipment is clean, approved, sanitary, and maintained in good working condition.",Equipment,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Equipment is clean, approved, sanitary, and maintained in good working condition.;Equipment;88","Equipment is clean, approved, sanitary, and maintained in good working condition.;Equipment",88;Milk Industry Standards Regulation
0fMbZ0000000IgRUAU,0eubZ0000000Ux6QAE,"Coolers are clean, approved, sanitary, and maintained in good working condition.",Equipment,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Coolers are clean, approved, sanitary, and maintained in good working condition.;Equipment;88","Coolers are clean, approved, sanitary, and maintained in good working condition.;Equipment",88;Milk Industry Standards Regulation
0fMbZ0000000IgSUAU,0eubZ0000000Ux7QAE,"Freezers are clean, approved, sanitary, and maintained in good working condition.",Equipment,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Freezers are clean, approved, sanitary, and maintained in good working condition.;Equipment;88","Freezers are clean, approved, sanitary, and maintained in good working condition.;Equipment",88;Milk Industry Standards Regulation
0fMbZ0000000IgTUAU,0eubZ0000000Ux8QAE,Licence to operate a dairy plant is valid and is available in a conspicuous location.,Licensing,,0fCbZ0000000G1eUAE,13,Chandrahas Bireddy,Licence to operate a dairy plant is valid and is available in a conspicuous location.;Licensing;13,Licence to operate a dairy plant is valid and is available in a conspicuous location.;Licensing,13;Milk Industry Act
0fMbZ0000000IgUUAU,0eubZ0000000Ux9QAE,"Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.",Licensing,,0fCbZ0000000G1iUAE,48,Chandrahas Bireddy,"Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.;Licensing;48","Dairy plant workers are fully qualified, licensed and the worker licences are available in a conspicuous location.;Licensing",48;Milk Industry Standards Regulation
0fMbZ0000000IgVUAU,0eubZ0000000UxAQAU,Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.,Licensing,,0fCbZ0000000G1mUAE,52,Chandrahas Bireddy,Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.;Licensing;52,Unlicensed dairy workers employed on a temporary or emergency basis are under supervision of a licensed supervisor.;Licensing,52;Milk Industry Standards Regulation
0fMbZ0000000IgWUAU,0eubZ0000000UxBQAU,"Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.",Hygiene,,0fCbZ0000000G1vUAE,85,Chandrahas Bireddy,"Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.;Hygiene;85","Designated spaces are provided and are appropriately used by employees to eat, drink, chew or smoke.;Hygiene",85;Milk Industry Standards Regulation
0fMbZ0000000IgXUAU,0eubZ0000000UxCQAU,Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.,Hygiene,,0fCbZ0000000G33UAE,85(3),Chandrahas Bireddy,Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.;Hygiene;85(3),Washrooms are exclusively available for dairy plant personnel and kept in sanitary condition.;Hygiene,85(3);Milk Industry Standards Regulation
0fMbZ0000000IgYUAU,0eubZ0000000UxDQAU,Adequate hand washing stations are conveniently located and equipped with all required supplies.,Hygiene,,0fCbZ0000000G34UAE,85(4),Chandrahas Bireddy,Adequate hand washing stations are conveniently located and equipped with all required supplies.;Hygiene;85(4),Adequate hand washing stations are conveniently located and equipped with all required supplies.;Hygiene,85(4);Milk Industry Standards Regulation
0fMbZ0000000IgZUAU,0eubZ0000000UxEQAU,"Foot baths are conveniently located, equipped with all the required supplies, and used as intended.",Hygiene,,0fCbZ0000000G1uUAE,84,Chandrahas Bireddy,"Foot baths are conveniently located, equipped with all the required supplies, and used as intended.;Hygiene;84","Foot baths are conveniently located, equipped with all the required supplies, and used as intended.;Hygiene",84;Milk Industry Standards Regulation
0fMbZ0000000IgaUAE,0eubZ0000000UxFQAU,"Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.",Hygiene,,0fCbZ0000000G35UAE,85(5),Chandrahas Bireddy,"Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.;Hygiene;85(5)","Dairy plant process workers wear appropriate clothing, footwear, and protective equipment when processing and handling dairy products.;Hygiene",85(5);Milk Industry Standards Regulation
0fMbZ0000000IgbUAE,0eubZ0000000UxGQAU,"Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.",Hygiene,,0fCbZ0000000G1uUAE,84,Chandrahas Bireddy,"Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.;Hygiene;84","Processing areas are used exclusively for processing, protected from contamination, and all exterior openings are properly closed or screened.;Hygiene",84;Milk Industry Standards Regulation
0fMbZ0000000IgcUAE,0eubZ0000000UxHQAU,Pest control program is adequate and records are maintained.,Pest control,,0fCbZ0000000G26UAE,98,Chandrahas Bireddy,Pest control program is adequate and records are maintained.;Pest control;98,Pest control program is adequate and records are maintained.;Pest control,98;Milk Industry Standards Regulation
0fMbZ0000000IgdUAE,0eubZ0000000UxIQAU,Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.,Interior,,0fCbZ0000000G2zUAE,84(7),Chandrahas Bireddy,Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.;Interior;84(7),Processing rooms are designed to prevent contamination and maintain proper product and personnel flow.;Interior,84(7);Milk Industry Standards Regulation
0fMbZ0000000IgeUAE,0eubZ0000000UxJQAU,"Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.",Interior,,0fCbZ0000000G2uUAE,84(2),Chandrahas Bireddy,"Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.;Interior;84(2)","Floors in all dairy processing, pasteurizing, manufacturing, or storage areas are clean, properly jointed, and made of smooth, impervious material with proper drainage.;Interior",84(2);Milk Industry Standards Regulation
0fMbZ0000000IgfUAE,0eubZ0000000UxKQAU,"Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.",Interior,,0fCbZ0000000G2vUAE,84(3),Chandrahas Bireddy,"Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.;Interior;84(3)","Walls and ceilings in dairy processing areas are smooth, clean, moisture-resistant, and light-colored.;Interior",84(3);Milk Industry Standards Regulation
0fMbZ0000000IggUAE,0eubZ0000000UxLQAU,"Ventilation is adequate to prevent odours, condensation and dust accumulation.",Interior,,0fCbZ0000000G2xUAE,84(5),Chandrahas Bireddy,"Ventilation is adequate to prevent odours, condensation and dust accumulation.;Interior;84(5)","Ventilation is adequate to prevent odours, condensation and dust accumulation.;Interior",84(5);Milk Industry Standards Regulation
0fMbZ0000000IghUAE,0eubZ0000000UxMQAU,Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.,Interior,,0fCbZ0000000G2yUAE,84(6),Chandrahas Bireddy,Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.;Interior;84(6),Lighting is adequate and shielded with shatter proof coverings in all rooms in the dairy plant.;Interior,84(6);Milk Industry Standards Regulation
0fMbZ0000000IgiUAE,0eubZ0000000UxNQAU,"Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.",Sanitation,,0fCbZ0000000G1zUAE,90,Chandrahas Bireddy,"Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.;Sanitation;90","Chemicals are stored away from dairy products, supplies and ingredients to prevent contamination.;Sanitation",90;Milk Industry Standards Regulation
0fMbZ0000000IgjUAE,0eubZ0000000UxOQAU,"Sanitation program is adequate, being followed and records are maintained.",Sanitation,,0fCbZ0000000G2iUAE,8(1)(b)(i),Chandrahas Bireddy,"Sanitation program is adequate, being followed and records are maintained.;Sanitation;8(1)(b)(i)","Sanitation program is adequate, being followed and records are maintained.;Sanitation",8(1)(b)(i);Milk Industry Act
0fMbZ0000000IgkUAE,0eubZ0000000UxPQAU,Sewage and waste disposal is effective and meets all health and pollution regulations.,Sanitation,,0fCbZ0000000G37UAE,87(2),Chandrahas Bireddy,Sewage and waste disposal is effective and meets all health and pollution regulations.;Sanitation;87(2),Sewage and waste disposal is effective and meets all health and pollution regulations.;Sanitation,87(2);Milk Industry Standards Regulation
0fMbZ0000000IglUAE,0eubZ0000000UxQQAU,Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.,Sanitation,,0fCbZ0000000G36UAE,87(1),Chandrahas Bireddy,Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.;Sanitation;87(1),Adequate supply of pressurized hot and cold potable water is supplied to maintain standards of cleanliness.;Sanitation,87(1);Milk Industry Standards Regulation
0fMbZ0000000IgmUAE,0eubZ0000000UxRQAU,Exterior of the dairy plant is free of potential sources of contamination.,Exterior,,0fCbZ0000000G31UAE,85(1),Chandrahas Bireddy,Exterior of the dairy plant is free of potential sources of contamination.;Exterior;85(1),Exterior of the dairy plant is free of potential sources of contamination.;Exterior,85(1);Milk Industry Standards Regulation
0fMbZ0000000IgnUAE,0eubZ0000000UxSQAU,All ingredients and supplies protected from contamination during storage.,Ingredients,,0fCbZ0000000G1zUAE,90,Chandrahas Bireddy,All ingredients and supplies protected from contamination during storage.;Ingredients;90,All ingredients and supplies protected from contamination during storage.;Ingredients,90;Milk Industry Standards Regulation
0fMbZ0000000IgoUAE,0eubZ0000000UxTQAU,"Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.",Ingredients,,0fCbZ0000000G24UAE,96,Chandrahas Bireddy,"Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.;Ingredients;96","Dairy products for livestock and animal feed are handled, treated, processed and stored away from milk products intended for human consumption.;Ingredients",96;Milk Industry Standards Regulation
0fMbZ0000000IgpUAE,0eubZ0000000UxUQAU,Products are labelled adequately.,Packaging and Labelling,,0fCbZ0000000G1fUAE,15,Chandrahas Bireddy,Products are labelled adequately.;Packaging and Labelling;15,Products are labelled adequately.;Packaging and Labelling,15;Milk Industry Act
0fMbZ0000000IgqUAE,0eubZ0000000UxVQAU,Products are packaged adequately.,Packaging and Labelling,,0fCbZ0000000G3DUAU,92(a),Chandrahas Bireddy,Products are packaged adequately.;Packaging and Labelling;92(a),Products are packaged adequately.;Packaging and Labelling,92(a);Milk Industry Standards Regulation
0fMbZ0000000IgrUAE,0eubZ0000000UxWQAU,"Written recall and traceability protocols are up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1fUAE,15,Chandrahas Bireddy,"Written recall and traceability protocols are up to date, being followed and records are maintained.;Programs and plans;15","Written recall and traceability protocols are up to date, being followed and records are maintained.;Programs and plans",15;Milk Industry Act
0fMbZ0000000IgsUAE,0eubZ0000000UxXQAU,"Raw ingredient protocols up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G20UAE,91,Chandrahas Bireddy,"Raw ingredient protocols up to date, being followed and records are maintained.;Programs and plans;91","Raw ingredient protocols up to date, being followed and records are maintained.;Programs and plans",91;Milk Industry Standards Regulation
0fMbZ0000000IgtUAE,0eubZ0000000UxYQAU,"Monthly testing program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1tUAE,83,Chandrahas Bireddy,"Monthly testing program is up to date, being followed and records are maintained.;Programs and plans;83","Monthly testing program is up to date, being followed and records are maintained.;Programs and plans",83;Milk Industry Standards Regulation
0fMbZ0000000IguUAE,0eubZ0000000UxZQAU,"Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1xUAE,88,Chandrahas Bireddy,"Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.;Programs and plans;88","Equipment Preventative Maintenance & Calibration protocols up to date, being followed and records are maintained.;Programs and plans",88;Milk Industry Standards Regulation
0fMbZ0000000IgvUAE,0eubZ0000000UxaQAE,"Product processing procedures are up to date, being followed and records maintained.",Programs and plans,,0fCbZ0000000G21UAE,93,Chandrahas Bireddy,"Product processing procedures are up to date, being followed and records maintained.;Programs and plans;93","Product processing procedures are up to date, being followed and records maintained.;Programs and plans",93;Milk Industry Standards Regulation
0fMbZ0000000IgwUAE,0eubZ0000000UxbQAE,"Transportation program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1cUAE,7,Chandrahas Bireddy,"Transportation program is up to date, being followed and records are maintained.;Programs and plans;7","Transportation program is up to date, being followed and records are maintained.;Programs and plans",7;Milk Industry Standards Regulation
0fMbZ0000000IgxUAE,0eubZ0000000UxcQAE,"Worker training program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1iUAE,48,Chandrahas Bireddy,"Worker training program is up to date, being followed and records are maintained.;Programs and plans;48","Worker training program is up to date, being followed and records are maintained.;Programs and plans",48;Milk Industry Standards Regulation
0fMbZ0000000IgyUAE,0eubZ0000000UxdQAE,"Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1wUAE,87,Chandrahas Bireddy,"Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.;Programs and plans;87","Secondary Water Treatment is in place, monitoring and maintenance procedures are being followed and records are maintained.;Programs and plans",87;Milk Industry Standards Regulation
0fMbZ0000000IgzUAE,0eubZ0000000UxeQAE,"Allergen Control Program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1fUAE,15,Chandrahas Bireddy,"Allergen Control Program is up to date, being followed and records are maintained.;Programs and plans;15","Allergen Control Program is up to date, being followed and records are maintained.;Programs and plans",15;Milk Industry Act
0fMbZ0000000Ih0UAE,0eubZ0000000UxfQAE,"Personnel Hygiene Program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1dUAE,10,Chandrahas Bireddy,"Personnel Hygiene Program is up to date, being followed and records are maintained.;Programs and plans;10","Personnel Hygiene Program is up to date, being followed and records are maintained.;Programs and plans",10;Milk Industry Act
0fMbZ0000000Ih1UAE,0eubZ0000000UxgQAE,"Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1uUAE,84,Chandrahas Bireddy,"Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.;Programs and plans;84","Enhanced Hygiene, Biosecurity, Infection control Programs are up to date, being followed and records are maintained.;Programs and plans",84;Milk Industry Standards Regulation
0fMbZ0000000Ih2UAE,0eubZ0000000UxhQAE,"Glass breakage Control Program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1gUAE,22,Chandrahas Bireddy,"Glass breakage Control Program is up to date, being followed and records are maintained.;Programs and plans;22","Glass breakage Control Program is up to date, being followed and records are maintained.;Programs and plans",22;Milk Industry Act
0fMbZ0000000Ih3UAE,0eubZ0000000UxiQAE,"Product Labelling Program is up to date, being followed and records are maintained.",Programs and plans,,0fCbZ0000000G1fUAE,15,Chandrahas Bireddy,"Product Labelling Program is up to date, being followed and records are maintained.;Programs and plans;15","Product Labelling Program is up to date, being followed and records are maintained.;Programs and plans",15;Milk Industry Act
0fMbZ0000000Ih4UAE,0eubZ0000000UxjQAE,Product test results are satisfactory.,Product Testing,,0fCbZ0000000G1sUAE,82,Chandrahas Bireddy,Product test results are satisfactory.;Product Testing;82,Product test results are satisfactory.;Product Testing,82;Milk Industry Standards Regulation
0fMbZ0000000Ih5UAE,0eubZ0000000UxkQAE,Environmental swab results are satisfactory.,Environmental Swabbing,,0fCbZ0000000G2zUAE,84(7),Chandrahas Bireddy,Environmental swab results are satisfactory.;Environmental Swabbing;84(7),Environmental swab results are satisfactory.;Environmental Swabbing,84(7);Milk Industry Standards Regulation
0fMbZ0000000IhhUAE,0eubZ0000000V2BQAU,Unapproved product or equipment.,Approved activities,"Products, processes, equipment and rooms are approved.",0fCbZ0000000G21UAE,93,Chandrahas Bireddy,"Unapproved product or equipment.;Approved activities;Products, processes, equipment and rooms are approved.;93",Unapproved product or equipment.;Approved activities,93;Milk Industry Standards Regulation
0fMbZ0000000IhiUAE,0eubZ0000000V2CQAU,Unapproved operation.,Approved activities,"Products, processes, equipment and rooms are approved.",0fCbZ0000000G21UAE,93,Chandrahas Bireddy,"Unapproved operation.;Approved activities;Products, processes, equipment and rooms are approved.;93",Unapproved operation.;Approved activities,93;Milk Industry Standards Regulation
0fMbZ0000000IhjUAE,0eubZ0000000V2DQAU,Unapproved room or area.,Approved activities,"Products, processes, equipment and rooms are approved.",0fCbZ0000000G21UAE,93,Chandrahas Bireddy,"Unapproved room or area.;Approved activities;Products, processes, equipment and rooms are approved.;93",Unapproved room or area.;Approved activities,93;Milk Industry Standards Regulation
0fMbZ0000000IhkUAE,0eubZ0000000V2EQAU,Excess or extraneous water in product.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",0fCbZ0000000G1sUAE,82,Chandrahas Bireddy,"Excess or extraneous water in product.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.;82",Excess or extraneous water in product.;Product safety and quality,82;Milk Industry Standards Regulation
0fMbZ0000000IhlUAE,0eubZ0000000V2FQAU,Adulteration of product.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",0fCbZ0000000G1sUAE,82,Chandrahas Bireddy,"Adulteration of product.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.;82",Adulteration of product.;Product safety and quality,82;Milk Industry Standards Regulation
0fMbZ0000000IhmUAE,0eubZ0000000V2GQAU,Presence of unwanted pathogen.,Product safety and quality,"Products are free of extraneous water, adulteration and contamination.",0fCbZ0000000G1sUAE,82,Chandrahas Bireddy,"Presence of unwanted pathogen.;Product safety and quality;Products are free of extraneous water, adulteration and contamination.;82",Presence of unwanted pathogen.;Product safety and quality,82;Milk Industry Standards Regulation
