Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000IbFUAU,0eubZ0000000UxkQAE,Environmental swab results are satisfactory.,Environmental Swabbing,,0fCbZ0000000G2zUAE,84(7),Vishwantha Gandloju,Environmental swab results are satisfactory.;Environmental Swabbing;84(7),Environmental swab results are satisfactory.;Environmental Swabbing,84(7);Milk Industry Standards Regulation
0fMbZ0000000IcrUAE,0eubZ0000000UxjQAE,Product test results are satisfactory.,Product Testing,,0fCbZ0000000G1sUAE,82,Vishwantha Gandloju,Product test results are satisfactory.;Product Testing;82,Product test results are satisfactory.;Product Testing,82;Milk Industry Standards Regulation
0fMbZ0000000Ig5UAE,0eubZ0000000UwlQAE,"Products, processes, equipment and rooms are approved.",Approved activities,,0fCbZ0000000G21UAE,93,Chandrahas Bireddy,"Products, processes, equipment and rooms are approved.;Approved activities;93","Products, processes, equipment and rooms are approved.;Approved activities",93;Milk Industry Standards Regulation
0fMbZ0000000Ig6UAE,0eubZ0000000UwmQAE,"Products are free of extraneous water, adulteration and contamination.",Product safety and quality,,0fCbZ0000000G1sUAE,82,Chandrahas Bireddy,"Products are free of extraneous water, adulteration and contamination.;Product safety and quality;82","Products are free of extraneous water, adulteration and contamination.;Product safety and quality",82;Milk Industry Standards Regulation
0fMbZ0000000Ig7UAE,0eubZ0000000UwnQAE,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Raw milk receiving,,0fCbZ0000000G1ZUAU,1.1,Chandrahas Bireddy,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving;1.1","Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving",1.1;Milk Industry Standards Regulation
0fMbZ0000000Ig8UAE,0eubZ0000000UwoQAE,Containers used for raw milk and products are cleaned and sanitized at the plant.,Raw milk receiving,,0fCbZ0000000G3AUAU,89(1),Chandrahas Bireddy,Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving;89(1),Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving,89(1);Milk Industry Standards Regulation
0fMbZ0000000Ig9UAE,0eubZ0000000UwpQAE,Raw milk trucks are cleaned and sanitized at the dairy plant.,Raw milk receiving,,0fCbZ0000000G1yUAE,89,Chandrahas Bireddy,Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving;89,Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving,89;Milk Industry Standards Regulation
0fMbZ0000000IgAUAU,0eubZ0000000UwqQAE,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.,Raw milk receiving,,0fCbZ0000000G3CUAU,89(3),Chandrahas Bireddy,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving;89(3),Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving,89(3);Milk Industry Standards Regulation
0fMbZ0000000IgBUAU,0eubZ0000000UwrQAE,All milk has been filtered or clarified prior to pasteurization.,Raw milk receiving,,0fCbZ0000000G22UAE,94,Chandrahas Bireddy,All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving;94,All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving,94;Milk Industry Standards Regulation
0fMbZ0000000IgCUAU,0eubZ0000000UwsQAE,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.,Raw milk receiving,,0fCbZ0000000G1lUAE,51,Chandrahas Bireddy,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving;51,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving,51;Milk Industry Standards Regulation
