Id,Name,Category__c,DataType,Criticality__c,InspectionQuestiontype__c,PHOCSParentId__c,PHOCSParentId__r.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$Category__c,PHOCSParentId__r.$$Name$Category__c
0eubZ0000000Ux7QAE,"Freezers are clean, approved, sanitary, and maintained in good working condition.",Equipment,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Freezers are clean, approved, sanitary, and maintained in good working condition.;Equipment",
0eubZ0000000UwmQAE,"Products are free of extraneous water, adulteration and contamination.",Product safety and quality,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Products are free of extraneous water, adulteration and contamination.;Product safety and quality",
0eubZ0000000UwnQAE,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving",
0eubZ0000000UwoQAE,Containers used for raw milk and products are cleaned and sanitized at the plant.,Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving,
0eubZ0000000UwpQAE,Raw milk trucks are cleaned and sanitized at the dairy plant.,Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving,
0eubZ0000000UwqQAE,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.,Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving,
0eubZ0000000UwrQAE,All milk has been filtered or clarified prior to pasteurization.,Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving,
0eubZ0000000UwsQAE,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.,Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving,
0eubZ0000000UwtQAE,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.",Raw milk receiving,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving",
0eubZ0000000UwuQAE,All products are pasteurized.,Pasteurization - Vat/holder,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,All products are pasteurized.;Pasteurization - Vat/holder,
0eubZ0000000UwvQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder,
0eubZ0000000UwwQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - Vat/holder,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - Vat/holder",
0eubZ0000000UwxQAE,All products are pasteurized.,Pasteurization - HTST,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,All products are pasteurized.;Pasteurization - HTST,
0eubZ0000000UwyQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - HTST,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - HTST,
0eubZ0000000UwzQAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - HTST,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - HTST",
0eubZ0000000Ux0QAE,All products are pasteurized.,Pasteurization - UHT,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,All products are pasteurized.;Pasteurization - UHT,
0eubZ0000000Ux1QAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - UHT,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - UHT,
0eubZ0000000Ux2QAE,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.",Pasteurization - UHT,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Pasteurization equipment is clean, approved, sanitary, and maintained in good working conditions.;Pasteurization - UHT",
0eubZ0000000Ux3QAE,Pasteurized dairy products are being sold or supplied.,Pasteurization - General,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Pasteurized dairy products are being sold or supplied.;Pasteurization - General,
