AssessmentIndDefinitionId,Errors,ExternalId__c,Id,RegulatoryCodeId
0euAq0000000UirIAE,,CCALA 26.1,0fMAq0000000EarMAE,0fCAq0000000FBxMAM
0euAq0000000UisIAE,,CCALA 26.5,0fMAq0000000EasMAE,0fCAq0000000FByMAM
0euAq0000000UitIAE,,CCALA 26.1.1.a ,0fMAq0000000EatMAE,0fCAq0000000FBzMAM
0euAq0000000UiuIAE,,CCALA 26.1.1.b ,0fMAq0000000EauMAE,0fCAq0000000FC0MAM
0euAq0000000UivIAE,,CCALA 26.1.1.c ,0fMAq0000000EavMAE,0fCAq0000000FC1MAM
0euAq0000000UiwIAE,,CCALA 26.1.1.d ,0fMAq0000000EawMAE,0fCAq0000000FC2MAM
0euAq0000000UixIAE,,S 15.1.a,0fMAq0000000EaxMAE,0fCAq0000000FC3MAM
0euAq0000000UiyIAE,,S 15.1.b,0fMAq0000000EayMAE,0fCAq0000000FC4MAM
0euAq0000000UizIAE,,S 15.2.a,0fMAq0000000EazMAE,0fCAq0000000FC5MAM
0euAq0000000Uj0IAE,,S 15.2.b,0fMAq0000000Eb0MAE,0fCAq0000000FC6MAM
0euAq0000000Uj1IAE,,S 16.1,0fMAq0000000Eb1MAE,0fCAq0000000FC7MAM
0euAq0000000Uj2IAE,,S 16.2,0fMAq0000000Eb2MAE,0fCAq0000000FC8MAM
0euAq0000000Uj3IAE,,S 17.1.a,0fMAq0000000Eb3MAE,0fCAq0000000FC9MAM
0euAq0000000Uj4IAE,,S 17.1.b,0fMAq0000000Eb4MAE,0fCAq0000000FCAMA2
0euAq0000000Uj5IAE,,S 17.1.c ,0fMAq0000000Eb5MAE,0fCAq0000000FCBMA2
0euAq0000000Uj6IAE,,S 17.1.d,0fMAq0000000Eb6MAE,0fCAq0000000FCCMA2
0euAq0000000Uj7IAE,,S 17.2,0fMAq0000000Eb7MAE,0fCAq0000000FCDMA2
0euAq0000000Uj8IAE,,S 17.3.a ,0fMAq0000000Eb8MAE,0fCAq0000000FCEMA2
0euAq0000000Uj9IAE,,S 17.3.b ,0fMAq0000000Eb9MAE,0fCAq0000000FCFMA2
0euAq0000000UjAIAU,,S 18.1.a ,0fMAq0000000EbAMAU,0fCAq0000000FCGMA2
0euAq0000000UjBIAU,,S 18.1.b ,0fMAq0000000EbBMAU,0fCAq0000000FCHMA2
0euAq0000000UjCIAU,,S 18.1.c ,0fMAq0000000EbCMAU,0fCAq0000000FCIMA2
0euAq0000000UjDIAU,,S 18.2.a ,0fMAq0000000EbDMAU,0fCAq0000000FCJMA2
0euAq0000000UjEIAU,,S 18.2.b ,0fMAq0000000EbEMAU,0fCAq0000000FCKMA2
0euAq0000000UjFIAU,,S 19.1 ,0fMAq0000000EbFMAU,0fCAq0000000FCLMA2
0euAq0000000UjGIAU,,S 19.2 ,0fMAq0000000EbGMAU,0fCAq0000000FCMMA2
0euAq0000000UjHIAU,,S 19.3.a ,0fMAq0000000EbHMAU,0fCAq0000000FCNMA2
0euAq0000000UjIIAU,,S 19.3.b ,0fMAq0000000EbIMAU,0fCAq0000000FCOMA2
0euAq0000000UjJIAU,,S 19.4 ,0fMAq0000000EbJMAU,0fCAq0000000FCPMA2
