Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ0000002yxlQAA,0Z4bZ0000000HdZSAU,Approved activities,0eubZ0000000UwlQAE,"Products, processes, equipment and rooms are approved.",Approved activities,,"Approved activities;Products, processes, equipment and rooms are approved.;Approved activities","Products, processes, equipment and rooms are approved.;Approved activities"
0dtbZ0000002yxmQAA,0Z4bZ0000000HdaSAE,Product safety and quality,0eubZ0000000UwmQAE,"Products are free of extraneous water, adulteration and contamination.",Product safety and quality,,"Product safety and quality;Products are free of extraneous water, adulteration and contamination.;Product safety and quality","Products are free of extraneous water, adulteration and contamination.;Product safety and quality"
0dtbZ0000002yxnQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwnQAE,"Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).",Raw milk receiving,,"Raw milk receiving;Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving","Milk sources are from prescribed dairy animals (cow, goat, sheep, water buffalo, caribou, horse or reindeer).;Raw milk receiving"
0dtbZ0000002yxoQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwoQAE,Containers used for raw milk and products are cleaned and sanitized at the plant.,Raw milk receiving,,Raw milk receiving;Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving,Containers used for raw milk and products are cleaned and sanitized at the plant.;Raw milk receiving
0dtbZ0000002yxpQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwpQAE,Raw milk trucks are cleaned and sanitized at the dairy plant.,Raw milk receiving,,Raw milk receiving;Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving,Raw milk trucks are cleaned and sanitized at the dairy plant.;Raw milk receiving
0dtbZ0000002yxqQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwqQAE,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.,Raw milk receiving,,Raw milk receiving;Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving,Raw milk receiving hoses and pumps are being rinsed after every delivery at the plant.;Raw milk receiving
0dtbZ0000002yxrQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwrQAE,All milk has been filtered or clarified prior to pasteurization.,Raw milk receiving,,Raw milk receiving;All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving,All milk has been filtered or clarified prior to pasteurization.;Raw milk receiving
0dtbZ0000002yxsQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwsQAE,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.,Raw milk receiving,,Raw milk receiving;All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving,All relevant records pertaining to the milk and cream supplied to the plant are available at the dairy plant.;Raw milk receiving
0dtbZ0000002yxtQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000V8fQAE,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.,Raw milk receiving,,Raw milk receiving;Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving,Raw milk is not stored longer than 2 hours before pasteurization unless it is constantly stored above 0°C but below 4°C.;Raw milk receiving
0dtbZ0000002yxuQAA,0Z4bZ0000000HdbSAE,Raw milk receiving,0eubZ0000000UwtQAE,"Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.",Raw milk receiving,,"Raw milk receiving;Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving","Shipments of raw milk received by the plant are adequately tested, including for solids and non-fat solids, phosphatase, added water, acidity (pH), bacteria, and antibiotics/inhibitors.;Raw milk receiving"
0dtbZ0000002yxvQAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000UwuQAE,All products are pasteurized.,Pasteurization - Vat/holder,,Pasteurization - Vat/holder;All products are pasteurized.;Pasteurization - Vat/holder,All products are pasteurized.;Pasteurization - Vat/holder
0dtbZ0000002yxwQAA,0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,0eubZ0000000UwvQAE,Pasteurization records are complete and recording chart is functioning correctly.,Pasteurization - Vat/holder,,Pasteurization - Vat/holder;Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder,Pasteurization records are complete and recording chart is functioning correctly.;Pasteurization - Vat/holder
