Id,Name,TaskType,RecordType.DeveloperName,CreatedBy.Name
0Z4bZ0000000HdZSAU,Approved activities,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdaSAE,Product safety and quality,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdbSAE,Raw milk receiving,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdcSAE,Pasteurization - Vat/holder,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HddSAE,Pasteurization - HTST,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdeSAE,Pasteurization - UHT,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdfSAE,Pasteurization - General,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdgSAE,Equipment,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdhSAE,Licensing,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdiSAE,Hygiene,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdjSAE,Pest control,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdkSAE,Interior,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdlSAE,Sanitation,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdmSAE,Exterior,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdnSAE,Ingredients,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdoSAE,Packaging and Labelling,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdpSAE,Programs and plans,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdqSAE,Product Testing,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000HdrSAE,Environmental Swabbing,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
