Id,Name,Subject,Description,EffectiveFrom,RegulatoryAuthorityId,RegulatoryAuthority.Name,RecordType.DeveloperName,$$Name$RegulatoryAuthority.Name
0fCbZ0000000GSzUAM,Raw Shellfish Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Raw Shellfish Guidelines;BCCDC
0fCbZ0000000GT0UAM,Raw Oysters Guidelines,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,Guide for Restaurant Operators Serving Raw Oysters and Bivalve Shellfish,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Raw Oysters Guidelines;BCCDC
0fCbZ0000000GT1UAM,Potable Water Storage Tanks and Water Supply,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Potable Water Storage Tanks and Water Supply;BCCDC
0fCbZ0000000GT2UAM,Physical Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Physical Requirements;BCCDC
0fCbZ0000000GT3UAM,Operational Requirements,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Operational Requirements;BCCDC
0fCbZ0000000GT4UAM,Garbage,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Garbage;BCCDC
0fCbZ0000000GT5UAM,Food Preparation and Protection,Mobile Food Premises Guideline,Mobile Food Premises Guideline,2026-04-06T00:00:00.000+0000,19pbZ0000001GviQAE,BCCDC,PHOCSRegulatoryCode,Food Preparation and Protection;BCCDC
0fCbZ0000000G3IUAU,B.01.010.2-4,"Division 1, General","Division 1, General",2025-03-26T10:36:00.000+0000,19pbZ0000001GvjQAE,Food and Drug Regulation,PHOCSRegulatoryCode,B.01.010.2-4;Food and Drug Regulation
0fCbZ0000000G1aUAE,6,6 No sale of dairy products unless pasteurized,6 No sale of dairy products unless pasteurized,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,6;Milk Industry Act
0fCbZ0000000G1dUAE,10,10 Persons suffering from disease,10 Persons suffering from disease,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,10;Milk Industry Act
0fCbZ0000000G1eUAE,13,13 Licence required to operate dairy plant,13 Licence required to operate dairy plant,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,13;Milk Industry Act
0fCbZ0000000G1fUAE,15,15 Labels and Standards,15 Labels and Standards,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,15;Milk Industry Act
0fCbZ0000000G1gUAE,22,22 Adulterated or contaminated products,22 Adulterated or contaminated products,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,22;Milk Industry Act
0fCbZ0000000G1hUAE,25,25 Testing,25 Testing,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,25;Milk Industry Act
0fCbZ0000000G2eUAE,14(2),"14 Use of terms ""certified"" and ""pasteurized""","14 Use of terms ""certified"" and ""pasteurized""",2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,14(2);Milk Industry Act
0fCbZ0000000G2fUAE,16(2),16 Permits for reconstituted milk,16 Permits for reconstituted milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,16(2);Milk Industry Act
0fCbZ0000000G2gUAE,6(1),6 No sale of dairy products unless pasteurized,6 No sale of dairy products unless pasteurized,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,6(1);Milk Industry Act
0fCbZ0000000G2hUAE,6(2),6 No sale of dairy products unless pasteurized,6 No sale of dairy products unless pasteurized,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,6(2);Milk Industry Act
0fCbZ0000000G2iUAE,8(1)(b)(i),8 Sale of pasteurized milk,8 Sale of pasteurized milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvkQAE,Milk Industry Act,PHOCSRegulatoryCode,8(1)(b)(i);Milk Industry Act
0fCbZ0000000G1ZUAU,1.1,1.1 Prescribed animals,1.1 Prescribed animals,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,1.1;Milk Industry Standards Regulation
0fCbZ0000000G1bUAE,6.1,6.1 Labelling of packages,6.1 Labelling of packages,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,6.1;Milk Industry Standards Regulation
0fCbZ0000000G1cUAE,7,7 Protection of dairy products,7 Protection of dairy products,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,7;Milk Industry Standards Regulation
0fCbZ0000000G1iUAE,48,48 Application for dairy plant process worker licence,48 Application for dairy plant process worker licence,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,48;Milk Industry Standards Regulation
0fCbZ0000000G1jUAE,49,49 Subject matter of licence,49 Subject matter of licence,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,49;Milk Industry Standards Regulation
0fCbZ0000000G1kUAE,50,50 Posting of licence in prescribed form,50 Posting of licence in prescribed form,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,50;Milk Industry Standards Regulation
0fCbZ0000000G1lUAE,51,51 Licensee's records,51 Licensee's records,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,51;Milk Industry Standards Regulation
0fCbZ0000000G1mUAE,52,52 No employment unless licensed,52 No employment unless licensed,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,52;Milk Industry Standards Regulation
0fCbZ0000000G1nUAE,64,64 Solids and non-fat solids in milk,64 Solids and non-fat solids in milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,64;Milk Industry Standards Regulation
0fCbZ0000000G1oUAE,65,65 Phosphatase in milk,65 Phosphatase in milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,65;Milk Industry Standards Regulation
0fCbZ0000000G1pUAE,66,66 Added water in milk,66 Added water in milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,66;Milk Industry Standards Regulation
0fCbZ0000000G1qUAE,67,67 Acidity of milk,67 Acidity of milk,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,67;Milk Industry Standards Regulation
0fCbZ0000000G1rUAE,78.1,78.1 Testing milk for presence of inhibitors,78.1 Testing milk for presence of inhibitors,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,78.1;Milk Industry Standards Regulation
0fCbZ0000000G1sUAE,82,82 Adulteration and contamination,82 Adulteration and contamination,2025-03-26T10:36:00.000+0000,19pbZ0000001GvlQAE,Milk Industry Standards Regulation,PHOCSRegulatoryCode,82;Milk Industry Standards Regulation
