Id,Name,TaskType,RecordType.DeveloperName,CreatedBy.Name
0Z4bZ0000000I3NSAU,Construction of Food Premises,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3OSAU,Approvals and Permits,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3PSAU,Food Sources and Protection,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3QSAU,"Equipment, Utensils and Cleaning",InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3RSAU,Employee,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3SSAU,Food Safety Management,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3TSAU,Miscellaneous,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3USAU,Permit to Operate Food Service Establishment,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3VSAU,Training,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3WSAU,Previously Served Food,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
0Z4bZ0000000I3XSAU,Temporary Food Service and Inspection Report,InspectionChecklist,PHOCSAssessmentTaskDefinition,Chandrahas Bireddy
