Id,Name,Family,IsActive,RecordType.DeveloperName,CreatedBy.Name,$$Name$Family
01tJQ00000L50rKYAR,1%,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,1%;Fluid milk (less than 10% milk fat)
01tbZ000009W3YhQAK,2%,Fluid milk (less than 10% milk fat),false,Products,Vishwantha Gandloju,2%;Fluid milk (less than 10% milk fat)
01tJQ00000L50rMYAR,3.25%,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,3.25%;Fluid milk (less than 10% milk fat)
01tbZ000009W3YlQAK,Acidophilus,Fluid milk (less than 10% milk fat),false,Products,Vishwantha Gandloju,Acidophilus;Fluid milk (less than 10% milk fat)
01tJQ00000L50rUYAR,Buffalo milk,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,Buffalo milk;Fluid milk (less than 10% milk fat)
01tJQ00000L50rTYAR,Goats milk,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,Goats milk;Fluid milk (less than 10% milk fat)
01tbZ000009W3YkQAK,Lactose-free,Fluid milk (less than 10% milk fat),false,Products,Vishwantha Gandloju,Lactose-free;Fluid milk (less than 10% milk fat)
01tJQ00000L50rQYAR,Non-homogenized 3.25%,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,Non-homogenized 3.25%;Fluid milk (less than 10% milk fat)
01tbZ000009W3YnQAK,Non-homogenized Whole,Fluid milk (less than 10% milk fat),false,Products,Vishwantha Gandloju,Non-homogenized Whole;Fluid milk (less than 10% milk fat)
01tJQ00000L50rJYAR,Skim,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,Skim;Fluid milk (less than 10% milk fat)
01tJQ00000L50rSYAR,Standard,Fluid milk (less than 10% milk fat),false,Products,PHOCS Data Migration,Standard;Fluid milk (less than 10% milk fat)
01tbZ000009W3YjQAK,Whole,Fluid milk (less than 10% milk fat),false,Products,Vishwantha Gandloju,Whole;Fluid milk (less than 10% milk fat)
01tbZ000009W3YrQAK,10%,Cream (greater than 10% milk fat),false,Products,Vishwantha Gandloju,10%;Cream (greater than 10% milk fat)
01tbZ000009W3YsQAK,18%,Cream (greater than 10% milk fat),false,Products,Vishwantha Gandloju,18%;Cream (greater than 10% milk fat)
01tJQ00000L50rXYAR,33%,Cream (greater than 10% milk fat),false,Products,PHOCS Data Migration,33%;Cream (greater than 10% milk fat)
