Id,Name,RecordTypeId,RecordType.DeveloperName,TestCategory__c,Active__c,CreatedBy.Name,$$Name$RecordType.DeveloperName,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
a0RbZ000002jM1eUAE,Environmental Swab Test,012JQ000007KTiUYAW,PHOCSDairyProductEnvironmentalSwabTest,Environmental Swab,true,Vishwantha Gandloju,Environmental Swab Test;PHOCSDairyProductEnvironmentalSwabTest,PHOCSDairyProductEnvironmentalSwabTest;LabTestMasterList__c
a0RbZ000002jM1dUAE,Product Test,012JQ000007KTiUYAW,PHOCSDairyProductEnvironmentalSwabTest,Product,true,Vishwantha Gandloju,Product Test;PHOCSDairyProductEnvironmentalSwabTest,PHOCSDairyProductEnvironmentalSwabTest;LabTestMasterList__c
