Id,Name,Category__c,DataType,Criticality__c,InspectionQuestiontype__c,PHOCSParentId__c,PHOCSParentId__r.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$Category__c$PHOCSParentId__r.Name,PHOCSParentId__r.$$Name$Category__c$PHOCSParentId__r.Name
0eubZ0000000W6UQAU,The operator and/or staff have adequate training.,Laser,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The operator and/or staff have adequate training.;Laser,
0eubZ0000000W6TQAU,The laser device is properly maintained and operated.,Laser,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The laser device is properly maintained and operated.;Laser,
0eubZ0000000W6SQAU,Protective eyewear is adequate for the client and operator.,Laser,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Protective eyewear is adequate for the client and operator.;Laser,
0eubZ0000000W6RQAU,The laser treatment controlled area is properly maintained and operated.,Laser,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The laser treatment controlled area is properly maintained and operated.;Laser,
0eubZ0000000W6QQAU,The operator requires written consent and/or proper identification.,Tattoo & Body Piercing,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The operator requires written consent and/or proper identification.;Tattoo & Body Piercing,
0eubZ0000000W6PQAU,"Invasive instruments are adequately cleaned, sterilized and maintained.",Tattoo & Body Piercing,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Invasive instruments are adequately cleaned, sterilized and maintained.;Tattoo & Body Piercing",
0eubZ0000000W7xQAE,Footbaths are adequately cleaned and disinfected.,Manicure and Pedicure,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Footbaths are adequately cleaned and disinfected.;Manicure and Pedicure,
0eubZ0000000W6hQAE,Approved trichinella control method is in place for pork/at risk species.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Approved trichinella control method is in place for pork/at risk species.;RTE Meat Food Sources and Protection,
0eubZ0000000W6gQAE,Proper procedures are in place for meat products that are intended to be consumed raw.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Proper procedures are in place for meat products that are intended to be consumed raw.;RTE Meat Food Sources and Protection,
0eubZ0000000W6fQAE,Proper drying procedures are followed.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Proper drying procedures are followed.;RTE Meat Food Sources and Protection,
0eubZ0000000W6eQAE,Proper fermentation procedures are followed.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Proper fermentation procedures are followed.;RTE Meat Food Sources and Protection,
0eubZ0000000W6dQAE,Proper cooking and curing procedures are followed.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Proper cooking and curing procedures are followed.;RTE Meat Food Sources and Protection,
0eubZ0000000W6cQAE,Proper curing procedures are followed.,RTE Meat Food Sources and Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Proper curing procedures are followed.;RTE Meat Food Sources and Protection,
0eubZ0000000W6bQAE,The base of operations meets the requirements of the Mobile Food Premises Guidelines.,Permit to Operate Mobile Food Service,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The base of operations meets the requirements of the Mobile Food Premises Guidelines.;Permit to Operate Mobile Food Service,
0eubZ0000000W6aQAE,The services conducted on the mobile food premises unit reflect its type and capacity.,Construction of Mobile Food Premises,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The services conducted on the mobile food premises unit reflect its type and capacity.;Construction of Mobile Food Premises,
0eubZ0000000W6ZQAU,"The mobile food premises unit is a self-contained, moveable structure.",Construction of Mobile Food Premises,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"The mobile food premises unit is a self-contained, moveable structure.;Construction of Mobile Food Premises",
0eubZ0000000VyHQAU,Construction or alterations has occurred without the review of an Environmental Health Officer.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyKQAU,Using an unapproved water source.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Using an unapproved water source.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyLQAU,Premises is not equipped with mechanical ventilation.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Premises is not equipped with mechanical ventilation.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyMQAU,Handwashing facilities are not properly supplied and/or conveniently located.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyNQAU,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyOQAU,Backflow prevention devices not present where needed; cross-connections present.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Backflow prevention devices not present where needed; cross-connections present.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyIQAU,Construction is not conducive to the hygenic or efficient practices or the services being provided.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyJQAU,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,General Requirements,Boolean,Non-critical,,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0eubZ0000000VyPQAU,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements;The personal service establishment's operation has been reviewed and accepted.,The personal service establishment's operation has been reviewed and accepted.;General Requirements
0eubZ0000000VyQQAU,Premises has not been inspected or plans and procedures have not been reviewed.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements;The personal service establishment's operation has been reviewed and accepted.,The personal service establishment's operation has been reviewed and accepted.;General Requirements
0eubZ0000000VySQAU,Required supplies for services are not available and within easy reach.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Required supplies for services are not available and within easy reach.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyRQAU,"The work area is not clean, organized, free of clutter and well lit.",General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"The work area is not clean, organized, free of clutter and well lit.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyTQAU,"Surfaces are constructed of rough, absorbent and/or porous materials.",General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyUQAU,Storage for clean equipment is not separated from soiled equipment.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Storage for clean equipment is not separated from soiled equipment.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyVQAU,"Instruments are not stored in a clean, covered container when not in use.",General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Instruments are not stored in a clean, covered container when not in use.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyWQAU,Equipment is not maintained according to manufacturer.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Equipment is not maintained according to manufacturer.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyXQAU,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyYQAU,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyZQAU,Disinfectant is not available or not at the appropriate concentration.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Disinfectant is not available or not at the appropriate concentration.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VyaQAE,Soiled laundry is not laundered after each client.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Soiled laundry is not laundered after each client.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VybQAE,Laundry service is not available.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Laundry service is not available.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VycQAE,Backflow prevention devices are not installed.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Backflow prevention devices are not installed.;General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0eubZ0000000VydQAE,Food is prepared and served to clients without approval.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Food is prepared and served to clients without approval.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements
0eubZ0000000VyeQAE,Beverages are not served in single-service disposable cups.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Beverages are not served in single-service disposable cups.;General Requirements;Food and/or beverage are offered in an acceptable manner to clients.,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements
0eubZ0000000VyfQAE,Premises is not separate from incompatible activities.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzxQAE,Incompatible activity is not present.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Premises is not separate from incompatible activities.;General Requirements;Incompatible activity is not present.,Incompatible activity is not present.;General Requirements
0eubZ0000000VygQAE,A first aid kit is not available on site.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzyQAE,A first aid kit is available.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,A first aid kit is not available on site.;General Requirements;A first aid kit is available.,A first aid kit is available.;General Requirements
0eubZ0000000VzDQAU,A sharps container is not available and/or used.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,A sharps container is not available and/or used.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VzFQAU,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VzGQAU,General precautions are not taken to prevent cross-contamination.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,General precautions are not taken to prevent cross-contamination.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz8QAE,A new sanitary strip or clean towel for the client is not available.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,A new sanitary strip or clean towel for the client is not available.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz7QAE,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz6QAE,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz5QAE,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz4QAE,Eyewear is not disinfected between clients.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Eyewear is not disinfected between clients.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz3QAE,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).",General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements;Adequate infection control measures are implemented.",Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz2QAE,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz1QAE,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000Vz0QAE,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.",General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements;Adequate infection control measures are implemented.",Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VyzQAE,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.",General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements;Adequate infection control measures are implemented.",Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VyyQAE,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VyxQAE,Clients do not wash their hands prior to their nail treatment.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Clients do not wash their hands prior to their nail treatment.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VywQAE,Infection control plan is not available.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Infection control plan is not available.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0eubZ0000000VyvQAE,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.,General Requirements,Boolean,Non-critical,,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
