Id,Name,Category__c,DataType,Criticality__c,InspectionQuestiontype__c,PHOCSParentId__c,PHOCSParentId__r.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$Category__c$PHOCSParentId__r.Name,PHOCSParentId__r.$$Name$Category__c$PHOCSParentId__r.Name
0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The personal service establishment's operation has been reviewed and accepted.;General Requirements,
0eubZ0000000W6NQAU,Operator provides clients with adequate instructions and information on the use of equipment.,Tanning,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Operator provides clients with adequate instructions and information on the use of equipment.;Tanning,
0eubZ0000000W6MQAU,Appropriate tanning signage is available and posted.,Tanning,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Appropriate tanning signage is available and posted.;Tanning,
0eubZ0000000W6LQAU,Protective eyewear is adequately maintained.,Tanning,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Protective eyewear is adequately maintained.;Tanning,
0eubZ0000000W00QAE,Adequate personal hygiene is practiced.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Adequate personal hygiene is practiced.;General Requirements,
0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Adequate infection control measures are implemented.;General Requirements,
0eubZ0000000VzyQAE,A first aid kit is available.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,A first aid kit is available.;General Requirements,
0eubZ0000000VzxQAE,Incompatible activity is not present.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Incompatible activity is not present.;General Requirements,
0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements,
0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements",
0eubZ0000000W6OQAU,The operator prohibits minors from using tanning facilities.,Tanning,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The operator prohibits minors from using tanning facilities.;Tanning,
0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,General Requirements,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements,
0eubZ0000000W6YQAU,"The mobile food premises unit, equipment, and utensils are designed and maintained to ensure safe and sanitary food handling.",Construction of Mobile Food Premises,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"The mobile food premises unit, equipment, and utensils are designed and maintained to ensure safe and sanitary food handling.;Construction of Mobile Food Premises",
0eubZ0000000W6XQAU,Food safety plan and records for raw oyster/raw shellfish service are kept and are able to provide accurate information upon request during an investigation.,Shellfish Food Safety Management,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,Food safety plan and records for raw oyster/raw shellfish service are kept and are able to provide accurate information upon request during an investigation.;Shellfish Food Safety Management,
0eubZ0000000W6WQAU,"Raw oysters/raw shellfish are stored, displayed and prepared in a manner that keeps it safe to eat.",Shellfish Food Protection,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,"Raw oysters/raw shellfish are stored, displayed and prepared in a manner that keeps it safe to eat.;Shellfish Food Protection",
0eubZ0000000W6VQAU,The required public health warning by the Medical Health Officer is displayed on a display card at the table or in the menu.,Menu Warning Requirement,String,Non-critical,Best Practice/Guidelines,,,PHOCSAssessmentIndicatorDefinition,Vishwantha Gandloju,The required public health warning by the Medical Health Officer is displayed on a display card at the table or in the menu.;Menu Warning Requirement,
