Id,Name,Category__c,DataType,Criticality__c,InspectionQuestiontype__c,PHOCSParentId__c,PHOCSParentId__r.Name,RecordType.DeveloperName,CreatedBy.Name,$$Name$Category__c,PHOCSParentId__r.$$Name$Category__c
0eubZ0000000WBBQA2,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee,
0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.","Equipment, Utensils and Cleaning",String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning",
0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Employees maintain and demonstrate good personal hygiene.;Employee,
0eubZ0000000WBEQA2,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.,Employee,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee,
0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",Food Safety Management,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management",
0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,Food Safety Management,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management,
0eubZ0000000WBHQA2,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR,Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR;Miscellaneous,
0eubZ0000000WBIQA2,The premises is free of pests.,Miscellaneous,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The premises is free of pests.;Miscellaneous,
0eubZ0000000WBJQA2,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.",Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous",
0eubZ0000000WBKQA2,"Chemicals, cleansers and similar agents are kept separate from food.",Miscellaneous,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,"Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous",
0eubZ0000000WBLQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,Training,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Training,
0eubZ0000000WBMQA2,Previously served food is not being served.,Previously Served Food,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Previously served food is not being served.;Previously Served Food,
0eubZ0000000WBNQA2,Operation of premises is in accordance with approved specifications.,Temporary Food Service and Inspection Report,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Operation of premises is in accordance with approved specifications.;Temporary Food Service and Inspection Report,
0eubZ0000000WBOQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,Temporary Food Service and Inspection Report,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Temporary Food Service and Inspection Report,
0eubZ0000000WBPQA2,All food on the premises is obtained from an approved source.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,All food on the premises is obtained from an approved source.;Temporary Food Service and Inspection Report,
0eubZ0000000WBQQA2,Food is handled in a sanitary manner and is not contaminated.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Food is handled in a sanitary manner and is not contaminated.;Temporary Food Service and Inspection Report,
0eubZ0000000WBRQA2,Potentially hazardous food is thawed in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food is thawed in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,
0eubZ0000000WBSQA2,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,
0eubZ0000000WBTQA2,All equipment and food contact surfaces are washed and sanitized to remove contamination.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,All equipment and food contact surfaces are washed and sanitized to remove contamination.;Temporary Food Service and Inspection Report,
0eubZ0000000WBUQA2,Each employee washes their hands as necessary to prevent the contamination of food.,Temporary Food Service and Inspection Report,String,Critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Each employee washes their hands as necessary to prevent the contamination of food.;Temporary Food Service and Inspection Report,
0eubZ0000000WBVQA2,Approval has been granted to the food premises.,Approvals and Permits,String,Non-critical,Regulation,,,PHOCSAssessmentIndicatorDefinition,Chandrahas Bireddy,Approval has been granted to the food premises.;Approvals and Permits,
