Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000JKPUA2,0eubZ0000000WBZQA2,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.;Construction of Food Premises;Section 3,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKQUA2,0eubZ0000000WBaQAM,Food on the premises is obtained from an approved source.,Food Sources and Protection,0fCbZ0000000GThUAM,Section 11,Chandrahas Bireddy,Food on the premises is obtained from an approved source.;Food Sources and Protection;Section 11,Food on the premises is obtained from an approved source.;Food Sources and Protection,Section 11;Food Premises Regulation
0fMbZ0000000JKRUA2,0eubZ0000000WBdQAM,Food is kept in a sanitary manner and is not subject to contamination.,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is kept in a sanitary manner and is not subject to contamination.;Food Sources and Protection;Section 12,Food is kept in a sanitary manner and is not subject to contamination.;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JKSUA2,0eubZ0000000WBcQAM,"Contaminated food is not stored, displayed or offered for sale.",Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,"Contaminated food is not stored, displayed or offered for sale.;Food Sources and Protection;Section 13","Contaminated food is not stored, displayed or offered for sale.;Food Sources and Protection",Section 13;Food Premises Regulation
0fMbZ0000000JKTUA2,0eubZ0000000WBbQAM,Potentially hazardous food is cooked/processed in an approved manner.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Potentially hazardous food is cooked/processed in an approved manner.;Food Sources and Protection;Section 14(1),Potentially hazardous food is cooked/processed in an approved manner.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JKUUA2,0eubZ0000000WBYQA2,Potentially hazardous food is thawed and/or cooled in an approved manner.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food is thawed and/or cooled in an approved manner.;Food Sources and Protection;Section 14,Potentially hazardous food is thawed and/or cooled in an approved manner.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JKVUA2,0eubZ0000000WBXQA2,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.;Food Sources and Protection;Section 14,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JKWUA2,0eubZ0000000WBWQA2,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.;Food Sources and Protection;Section 14,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JKXUA2,0eubZ0000000WBfQAM,"The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.","Equipment, Utensils and Cleaning",0fCbZ0000000GTZUA2,Section 16,Chandrahas Bireddy,"The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning;Section 16","The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning",Section 16;Food Premises Regulation
0fMbZ0000000JKYUA2,0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.","Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning;Section 17","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JKZUA2,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,Employee,0fCbZ0000000GTPUA2,Section 21,Chandrahas Bireddy,Employees maintain and demonstrate good personal hygiene.;Employee;Section 21,Employees maintain and demonstrate good personal hygiene.;Employee,Section 21;Food Premises Regulation
0fMbZ0000000JKaUAM,0eubZ0000000WBEQA2,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.,Employee,0fCbZ0000000GTKUA2,Section 22,Chandrahas Bireddy,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee;Section 22,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee,Section 22;Food Premises Regulation
0fMbZ0000000JKbUAM,0eubZ0000000WBBQA2,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.,Employee,0fCbZ0000000GT7UAM,Section 7,Chandrahas Bireddy,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee;Section 7,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee,Section 7;Food Premises Regulation
0fMbZ0000000JKcUAM,0eubZ0000000WBFQA2,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.",Food Safety Management,0fCbZ0000000GTIUA2,Section 23(2),Chandrahas Bireddy,"Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management;Section 23(2)","Operator of a food premises has developed, maintained, and follows written food handling procedures to ensure that a health hazard does not occur.;Food Safety Management",Section 23(2);Food Premises Regulation
0fMbZ0000000JKdUAM,0eubZ0000000WBGQA2,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.,Food Safety Management,0fCbZ0000000GTHUA2,Section 24,Chandrahas Bireddy,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management;Section 24,Operator of a food premises has approved written procedures to ensure the safe and sanitary operation of the establishment.;Food Safety Management,Section 24;Food Premises Regulation
0fMbZ0000000JKeUAM,0eubZ0000000WBHQA2,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR,Miscellaneous,0fCbZ0000000GTFUA2,Section 25,Chandrahas Bireddy,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR;Miscellaneous;Section 25,Live animals are not allowed on the premises unless permitted under 25(2) of the FPR;Miscellaneous,Section 25;Food Premises Regulation
0fMbZ0000000JKfUAM,0eubZ0000000WBIQA2,The premises is free of pests.,Miscellaneous,0fCbZ0000000GTDUA2,Section 26(a),Chandrahas Bireddy,The premises is free of pests.;Miscellaneous;Section 26(a),The premises is free of pests.;Miscellaneous,Section 26(a);Food Premises Regulation
0fMbZ0000000JKgUAM,0eubZ0000000WBJQA2,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.",Miscellaneous,0fCbZ0000000GTCUA2,Section 26(b),Chandrahas Bireddy,"The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous;Section 26(b)","The premises is free of conditions that lead to harbouring, breeding and entry of pests.;Miscellaneous",Section 26(b);Food Premises Regulation
0fMbZ0000000JKhUAM,0eubZ0000000WBKQA2,"Chemicals, cleansers and similar agents are kept separate from food.",Miscellaneous,0fCbZ0000000GTBUA2,Section 27,Chandrahas Bireddy,"Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous;Section 27","Chemicals, cleansers and similar agents are kept separate from food.;Miscellaneous",Section 27;Food Premises Regulation
