Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000JKiUAM,0eubZ0000000WBLQA2,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.,Training,0fCbZ0000000GTiUAM,Section 10,Chandrahas Bireddy,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Training;Section 10,The operator and/or food handler onsite holds a valid FOODSAFE Level 1 certificate or equivalent.;Training,Section 10;Food Premises Regulation
0fMbZ0000000JKjUAM,0eubZ0000000WBMQA2,Previously served food is not being served.,Previously Served Food,0fCbZ0000000GTaUAM,Section 15,Chandrahas Bireddy,Previously served food is not being served.;Previously Served Food;Section 15,Previously served food is not being served.;Previously Served Food,Section 15;Food Premises Regulation
0fMbZ0000000JKkUAM,0eubZ0000000WBNQA2,Operation of premises is in accordance with approved specifications.,Temporary Food Service and Inspection Report,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Operation of premises is in accordance with approved specifications.;Temporary Food Service and Inspection Report;Section 3,Operation of premises is in accordance with approved specifications.;Temporary Food Service and Inspection Report,Section 3;Food Premises Regulation
0fMbZ0000000JKmUAM,0eubZ0000000WBPQA2,All food on the premises is obtained from an approved source.,Temporary Food Service and Inspection Report,0fCbZ0000000GThUAM,Section 11,Chandrahas Bireddy,All food on the premises is obtained from an approved source.;Temporary Food Service and Inspection Report;Section 11,All food on the premises is obtained from an approved source.;Temporary Food Service and Inspection Report,Section 11;Food Premises Regulation
0fMbZ0000000JKnUAM,0eubZ0000000WBQQA2,Food is handled in a sanitary manner and is not contaminated.,Temporary Food Service and Inspection Report,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is handled in a sanitary manner and is not contaminated.;Temporary Food Service and Inspection Report;Section 12,Food is handled in a sanitary manner and is not contaminated.;Temporary Food Service and Inspection Report,Section 12;Food Premises Regulation
0fMbZ0000000JKoUAM,0eubZ0000000WBRQA2,Potentially hazardous food is thawed in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Potentially hazardous food is thawed in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report;Section 14(1),Potentially hazardous food is thawed in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,Section 14(1);Food Premises Regulation
0fMbZ0000000JKpUAM,0eubZ0000000WBSQA2,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.,Temporary Food Service and Inspection Report,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report;Section 14,Potentially hazardous food (PHF) is prepared and stored in a manner that makes it safe to eat.;Temporary Food Service and Inspection Report,Section 14;Food Premises Regulation
0fMbZ0000000JKqUAM,0eubZ0000000WBTQA2,All equipment and food contact surfaces are washed and sanitized to remove contamination.,Temporary Food Service and Inspection Report,0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,All equipment and food contact surfaces are washed and sanitized to remove contamination.;Temporary Food Service and Inspection Report;Section 17,All equipment and food contact surfaces are washed and sanitized to remove contamination.;Temporary Food Service and Inspection Report,Section 17;Food Premises Regulation
0fMbZ0000000JKrUAM,0eubZ0000000WBUQA2,Each employee washes their hands as necessary to prevent the contamination of food.,Temporary Food Service and Inspection Report,0fCbZ0000000GTPUA2,Section 21,Chandrahas Bireddy,Each employee washes their hands as necessary to prevent the contamination of food.;Temporary Food Service and Inspection Report;Section 21,Each employee washes their hands as necessary to prevent the contamination of food.;Temporary Food Service and Inspection Report,Section 21;Food Premises Regulation
0fMbZ0000000JKsUAM,0eubZ0000000WBqQAM,Construction or alteration has occurred without approval.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Construction or alteration has occurred without approval.;Construction of Food Premises;Section 3,Construction or alteration has occurred without approval.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKtUAM,0eubZ0000000WBoQAM,Premises is not connected to a source of potable water.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Premises is not connected to a source of potable water.;Construction of Food Premises;Section 3,Premises is not connected to a source of potable water.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKuUAM,0eubZ0000000WBpQAM,Premises is not connected to an approved or permitted waste-water disposal system.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Premises is not connected to an approved or permitted waste-water disposal system.;Construction of Food Premises;Section 3,Premises is not connected to an approved or permitted waste-water disposal system.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKvUAM,0eubZ0000000WBtQAM,Premises is not separate from incompatible areas.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Premises is not separate from incompatible areas.;Construction of Food Premises;Section 3,Premises is not separate from incompatible areas.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKwUAM,0eubZ0000000WBnQAM,Premises is not of sound construction and/or in good repair.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Premises is not of sound construction and/or in good repair.;Construction of Food Premises;Section 3,Premises is not of sound construction and/or in good repair.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKxUAM,0eubZ0000000WBsQAM,Premises is not designed and/or supplied with equipment that will ensure the safe and sanitary handling of food.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Premises is not designed and/or supplied with equipment that will ensure the safe and sanitary handling of food.;Construction of Food Premises;Section 3,Premises is not designed and/or supplied with equipment that will ensure the safe and sanitary handling of food.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKyUAM,0eubZ0000000WBrQAM,Inadequate lighting and/or ventilation on the premises.,Construction of Food Premises,0fCbZ0000000GTAUA2,Section 3,Chandrahas Bireddy,Inadequate lighting and/or ventilation on the premises.;Construction of Food Premises;Section 3,Inadequate lighting and/or ventilation on the premises.;Construction of Food Premises,Section 3;Food Premises Regulation
0fMbZ0000000JKzUAM,0eubZ0000000WBgQAM,The operator cannot provide evidence to support that food is from an approved source.,Food Sources and Protection,0fCbZ0000000GThUAM,Section 11,Chandrahas Bireddy,The operator cannot provide evidence to support that food is from an approved source.;Food Sources and Protection;Section 11,The operator cannot provide evidence to support that food is from an approved source.;Food Sources and Protection,Section 11;Food Premises Regulation
0fMbZ0000000JL0UAM,0eubZ0000000WC6QAM,Food is not protected from customer contamination. (e.g. sneeze guards).,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is not protected from customer contamination. (e.g. sneeze guards).;Food Sources and Protection;Section 12,Food is not protected from customer contamination. (e.g. sneeze guards).;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JL1UAM,0eubZ0000000WC5QAM,Food is stored in a manner that increases risk of cross contamination.,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is stored in a manner that increases risk of cross contamination.;Food Sources and Protection;Section 12,Food is stored in a manner that increases risk of cross contamination.;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JL2UAM,0eubZ0000000WC8QAM,"Food is not protected from contamination during transportation, display, storage or preparation.",Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,"Food is not protected from contamination during transportation, display, storage or preparation.;Food Sources and Protection;Section 12","Food is not protected from contamination during transportation, display, storage or preparation.;Food Sources and Protection",Section 12;Food Premises Regulation
0fMbZ0000000JL3UAM,0eubZ0000000WC9QAM,Food is not properly covered and protected from contamination.,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is not properly covered and protected from contamination.;Food Sources and Protection;Section 12,Food is not properly covered and protected from contamination.;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JL4UAM,0eubZ0000000WCAQA2,Food is in contact with un-sanitized surfaces or utensils.,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is in contact with un-sanitized surfaces or utensils.;Food Sources and Protection;Section 12,Food is in contact with un-sanitized surfaces or utensils.;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JL5UAM,0eubZ0000000WC7QAM,Food is in contact with corrosive or toxic materials.,Food Sources and Protection,0fCbZ0000000GTgUAM,Section 12,Chandrahas Bireddy,Food is in contact with corrosive or toxic materials.;Food Sources and Protection;Section 12,Food is in contact with corrosive or toxic materials.;Food Sources and Protection,Section 12;Food Premises Regulation
0fMbZ0000000JL6UAM,0eubZ0000000WC2QAM,Canned goods are in unsatisfactory condition.,Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,Canned goods are in unsatisfactory condition.;Food Sources and Protection;Section 13,Canned goods are in unsatisfactory condition.;Food Sources and Protection,Section 13;Food Premises Regulation
0fMbZ0000000JL7UAM,0eubZ0000000WC4QAM,Unpasteurized milk or milk products on the premises.,Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,Unpasteurized milk or milk products on the premises.;Food Sources and Protection;Section 13,Unpasteurized milk or milk products on the premises.;Food Sources and Protection,Section 13;Food Premises Regulation
0fMbZ0000000JL8UAM,0eubZ0000000WC3QAM,Food is unfit for human consumption.,Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,Food is unfit for human consumption.;Food Sources and Protection;Section 13,Food is unfit for human consumption.;Food Sources and Protection,Section 13;Food Premises Regulation
0fMbZ0000000JL9UAM,0eubZ0000000WC1QAM,Eggs are cracked or unclean.,Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,Eggs are cracked or unclean.;Food Sources and Protection;Section 13,Eggs are cracked or unclean.;Food Sources and Protection,Section 13;Food Premises Regulation
0fMbZ0000000JLAUA2,0eubZ0000000WC0QAM,Water or ice is from a contaminated source.,Food Sources and Protection,0fCbZ0000000GTfUAM,Section 13,Chandrahas Bireddy,Water or ice is from a contaminated source.;Food Sources and Protection;Section 13,Water or ice is from a contaminated source.;Food Sources and Protection,Section 13;Food Premises Regulation
0fMbZ0000000JLBUA2,0eubZ0000000WByQAM,Potentially hazardous food is not cooked thoroughly and to appropriate internal temperature.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Potentially hazardous food is not cooked thoroughly and to appropriate internal temperature.;Food Sources and Protection;Section 14(1),Potentially hazardous food is not cooked thoroughly and to appropriate internal temperature.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLCUA2,0eubZ0000000WBwQAM,Inadequate acidification of food.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Inadequate acidification of food.;Food Sources and Protection;Section 14(1),Inadequate acidification of food.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLDUA2,0eubZ0000000WBvQAM,Improper fermentation of food.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Improper fermentation of food.;Food Sources and Protection;Section 14(1),Improper fermentation of food.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLEUA2,0eubZ0000000WBuQAM,Improper curing/smoking of food.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Improper curing/smoking of food.;Food Sources and Protection;Section 14(1),Improper curing/smoking of food.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLFUA2,0eubZ0000000WBxQAM,Improper canning of food.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Improper canning of food.;Food Sources and Protection;Section 14(1),Improper canning of food.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLGUA2,0eubZ0000000WBzQAM,Potentially hazardous food is not reheated rapidly to 74°C.,Food Sources and Protection,0fCbZ0000000GTdUAM,Section 14(1),Chandrahas Bireddy,Potentially hazardous food is not reheated rapidly to 74°C.;Food Sources and Protection;Section 14(1),Potentially hazardous food is not reheated rapidly to 74°C.;Food Sources and Protection,Section 14(1);Food Premises Regulation
0fMbZ0000000JLHUA2,0eubZ0000000WBmQAM,Potentially hazardous food is not thawed using appropriate equipment and/or approved methods.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food is not thawed using appropriate equipment and/or approved methods.;Food Sources and Protection;Section 14,Potentially hazardous food is not thawed using appropriate equipment and/or approved methods.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JLIUA2,0eubZ0000000WBkQAM,"Frozen food is not stored, displayed or transported at a temperature of -18°C or below.",Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,"Frozen food is not stored, displayed or transported at a temperature of -18°C or below.;Food Sources and Protection;Section 14","Frozen food is not stored, displayed or transported at a temperature of -18°C or below.;Food Sources and Protection",Section 14;Food Premises Regulation
0fMbZ0000000JLJUA2,0eubZ0000000WBlQAM,"Potentially hazardous food is not stored, displayed or transported at a temperature of 4°C or below.",Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,"Potentially hazardous food is not stored, displayed or transported at a temperature of 4°C or below.;Food Sources and Protection;Section 14","Potentially hazardous food is not stored, displayed or transported at a temperature of 4°C or below.;Food Sources and Protection",Section 14;Food Premises Regulation
0fMbZ0000000JLKUA2,0eubZ0000000WBjQAM,Potentially hazardous food is not stored or displayed at 60°C or above.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Potentially hazardous food is not stored or displayed at 60°C or above.;Food Sources and Protection;Section 14,Potentially hazardous food is not stored or displayed at 60°C or above.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JLLUA2,0eubZ0000000WBiQAM,Hot holding equipment is not of the type or capacity to meet the needs of the premises.,Food Sources and Protection,0fCbZ0000000GTeUAM,Section 14,Chandrahas Bireddy,Hot holding equipment is not of the type or capacity to meet the needs of the premises.;Food Sources and Protection;Section 14,Hot holding equipment is not of the type or capacity to meet the needs of the premises.;Food Sources and Protection,Section 14;Food Premises Regulation
0fMbZ0000000JLMUA2,0eubZ0000000WCFQA2,The premises is not maintained in a sanitary condition.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTZUA2,Section 16,Chandrahas Bireddy,"The premises is not maintained in a sanitary condition.;Equipment, Utensils and Cleaning;Section 16","The premises is not maintained in a sanitary condition.;Equipment, Utensils and Cleaning",Section 16;Food Premises Regulation
0fMbZ0000000JLNUA2,0eubZ0000000WCEQA2,"Equipment, utensils and/or food contact surfaces are not maintained/used in a manner that ensures safe and sanitary food handling.","Equipment, Utensils and Cleaning",0fCbZ0000000GTZUA2,Section 16,Chandrahas Bireddy,"Equipment, utensils and/or food contact surfaces are not maintained/used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning;Section 16","Equipment, utensils and/or food contact surfaces are not maintained/used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning",Section 16;Food Premises Regulation
0fMbZ0000000JLOUA2,0eubZ0000000WCGQA2,Equipment or materials not required for the operation are stored on the premises.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTZUA2,Section 16,Chandrahas Bireddy,"Equipment or materials not required for the operation are stored on the premises.;Equipment, Utensils and Cleaning;Section 16","Equipment or materials not required for the operation are stored on the premises.;Equipment, Utensils and Cleaning",Section 16;Food Premises Regulation
0fMbZ0000000JLPUA2,0eubZ0000000WCIQA2,"Equipment, utensils, and/or food contact surfaces are not maintained or stored in a manner that prevents contamination.","Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Equipment, utensils, and/or food contact surfaces are not maintained or stored in a manner that prevents contamination.;Equipment, Utensils and Cleaning;Section 17","Equipment, utensils, and/or food contact surfaces are not maintained or stored in a manner that prevents contamination.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLQUA2,0eubZ0000000WCJQA2,Sanitizing solution concentration is too high.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Sanitizing solution concentration is too high.;Equipment, Utensils and Cleaning;Section 17","Sanitizing solution concentration is too high.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLRUA2,0eubZ0000000WCKQA2,Sanitizing solution concentration is too low.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Sanitizing solution concentration is too low.;Equipment, Utensils and Cleaning;Section 17","Sanitizing solution concentration is too low.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLSUA2,0eubZ0000000WCLQA2,Sanitizing solution is not present or at an improper concentration.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Sanitizing solution is not present or at an improper concentration.;Equipment, Utensils and Cleaning;Section 17","Sanitizing solution is not present or at an improper concentration.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLTUA2,0eubZ0000000WCMQA2,"Wiping cloths are not cleaned, restricted in use and/or stored in approved sanitizing solutions between uses.","Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Wiping cloths are not cleaned, restricted in use and/or stored in approved sanitizing solutions between uses.;Equipment, Utensils and Cleaning;Section 17","Wiping cloths are not cleaned, restricted in use and/or stored in approved sanitizing solutions between uses.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLUUA2,0eubZ0000000WCNQA2,Manual dishwashing procedure is improper to remove contamination.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Manual dishwashing procedure is improper to remove contamination.;Equipment, Utensils and Cleaning;Section 17","Manual dishwashing procedure is improper to remove contamination.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLVUA2,0eubZ0000000WCHQA2,Mechanical dishwasher does not provide sufficient washing and/or sanitizing action to remove contamination.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Mechanical dishwasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning;Section 17","Mechanical dishwasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
0fMbZ0000000JLWUA2,0eubZ0000000WCOQA2,Mechanical glasswasher does not provide sufficient washing and/or sanitizing action to remove contamination.,"Equipment, Utensils and Cleaning",0fCbZ0000000GTYUA2,Section 17,Chandrahas Bireddy,"Mechanical glasswasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning;Section 17","Mechanical glasswasher does not provide sufficient washing and/or sanitizing action to remove contamination.;Equipment, Utensils and Cleaning",Section 17;Food Premises Regulation
