Id,Name,TaskType,RecordType.DeveloperName
0Z4bZ0000000I3NSAU,Construction of Food Premises,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3OSAU,Approvals and Permits,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3PSAU,Food Sources and Protection,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3QSAU,"Equipment, Utensils and Cleaning",InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3RSAU,Employee,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3SSAU,Food Safety Management,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3TSAU,Miscellaneous,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3USAU,Permit to Operate Food Service Establishment,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3VSAU,Training,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3WSAU,Previously Served Food,InspectionChecklist,PHOCSAssessmentTaskDefinition
0Z4bZ0000000I3XSAU,Temporary Food Service and Inspection Report,InspectionChecklist,PHOCSAssessmentTaskDefinition
