Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,AssessmentIndDefinition.PHOCSParentId__r.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$AssessmentIndDefinition.PHOCSParentId__r.Name,AssessmentIndDefinition.$$Name$Category__c$PHOCSParentId__r.Name
0dtbZ00000032LRQAY,0Z4bZ0000000I3NSAU,Construction of Food Premises,0eubZ0000000WBZQA2,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.,Construction of Food Premises,,Construction of Food Premises;Operation and maintenance of premises is in accordance with the approved floor plans and specifications.;Construction of Food Premises,Operation and maintenance of premises is in accordance with the approved floor plans and specifications.;Construction of Food Premises
0dtbZ00000032LSQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBaQAM,Food on the premises is obtained from an approved source.,Food Sources and Protection,,Food Sources and Protection;Food on the premises is obtained from an approved source.;Food Sources and Protection,Food on the premises is obtained from an approved source.;Food Sources and Protection
0dtbZ00000032LTQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBdQAM,Food is kept in a sanitary manner and is not subject to contamination.,Food Sources and Protection,,Food Sources and Protection;Food is kept in a sanitary manner and is not subject to contamination.;Food Sources and Protection,Food is kept in a sanitary manner and is not subject to contamination.;Food Sources and Protection
0dtbZ00000032LUQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBcQAM,"Contaminated food is not stored, displayed or offered for sale.",Food Sources and Protection,,"Food Sources and Protection;Contaminated food is not stored, displayed or offered for sale.;Food Sources and Protection","Contaminated food is not stored, displayed or offered for sale.;Food Sources and Protection"
0dtbZ00000032LVQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBbQAM,Potentially hazardous food is cooked/processed in an approved manner.,Food Sources and Protection,,Food Sources and Protection;Potentially hazardous food is cooked/processed in an approved manner.;Food Sources and Protection,Potentially hazardous food is cooked/processed in an approved manner.;Food Sources and Protection
0dtbZ00000032LWQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBYQA2,Potentially hazardous food is thawed and/or cooled in an approved manner.,Food Sources and Protection,,Food Sources and Protection;Potentially hazardous food is thawed and/or cooled in an approved manner.;Food Sources and Protection,Potentially hazardous food is thawed and/or cooled in an approved manner.;Food Sources and Protection
0dtbZ00000032LXQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBXQA2,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.,Food Sources and Protection,,Food Sources and Protection;Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.;Food Sources and Protection,Potentially hazardous food is at a refrigerated temperature that keeps it safe to eat.;Food Sources and Protection
0dtbZ00000032LYQAY,0Z4bZ0000000I3PSAU,Food Sources and Protection,0eubZ0000000WBWQA2,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.,Food Sources and Protection,,Food Sources and Protection;Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.;Food Sources and Protection,Potentially hazardous food is at a hot holding temperature that keeps it safe to eat.;Food Sources and Protection
0dtbZ00000032LZQAY,0Z4bZ0000000I3QSAU,"Equipment, Utensils and Cleaning",0eubZ0000000WBfQAM,"The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.","Equipment, Utensils and Cleaning",,"Equipment, Utensils and Cleaning;The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning","The premises and equipment, utensils, and food contact surfaces are maintained in good condition and used in a manner that ensures safe and sanitary food handling.;Equipment, Utensils and Cleaning"
0dtbZ00000032LaQAI,0Z4bZ0000000I3QSAU,"Equipment, Utensils and Cleaning",0eubZ0000000WBCQA2,"Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.","Equipment, Utensils and Cleaning",,"Equipment, Utensils and Cleaning;Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning","Equipment, food contact surfaces, utensils, dishes & glasses used on the premises are washed and sanitized in a manner that removes contamination.;Equipment, Utensils and Cleaning"
0dtbZ00000032LbQAI,0Z4bZ0000000I3RSAU,Employee,0eubZ0000000WBDQA2,Employees maintain and demonstrate good personal hygiene.,Employee,,Employee;Employees maintain and demonstrate good personal hygiene.;Employee,Employees maintain and demonstrate good personal hygiene.;Employee
0dtbZ00000032LcQAI,0Z4bZ0000000I3RSAU,Employee,0eubZ0000000WBEQA2,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.,Employee,,Employee;Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee,Operator does not permit any person suspected to suffer from a disease communicable through food to come into contact with food or food contact surfaces.;Employee
0dtbZ00000032LdQAI,0Z4bZ0000000I3RSAU,Employee,0eubZ0000000WBBQA2,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.,Employee,,Employee;Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee,Operator immediately notifies a health officer of any circumstance that exists in the food premises that may cause a health hazard.;Employee
