Id,Name,TaskType,RecordType.DeveloperName,CreatedBy.Name
0Z4bZ0000000HyXSAU,General Requirements,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1lSAE,Tanning,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1nSAE,Manicure and Pedicure,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1oSAE,Laser,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1pSAE,Permit to Operate Mobile Food Service,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1qSAE,Construction of Mobile Food Premises,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1rSAE,Shellfish Food Protection,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1sSAE,Shellfish Food Safety Management,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1tSAE,Menu Warning Requirement,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
0Z4bZ0000000I1uSAE,RTE Meat Food Sources and Protection,InspectionChecklist,PHOCSAssessmentTaskDefinition,Vishwantha Gandloju
