Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name,AssessmentIndDefinition.$$Name$Category__c
0dtbZ00000031QEQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz8QAE,A new sanitary strip or clean towel for the client is not available.,Vishwantha Gandloju,General Requirements;A new sanitary strip or clean towel for the client is not available.,A new sanitary strip or clean towel for the client is not available.;General Requirements
0dtbZ00000031QFQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz9QAE,Piercing guns are used for body piercing.,Vishwantha Gandloju,General Requirements;Piercing guns are used for body piercing.,Piercing guns are used for body piercing.;General Requirements
0dtbZ00000031QGQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzAQAU,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.,Vishwantha Gandloju,General Requirements;Skin is not cleansed with soap and swabbed with an antiseptic before piercing.,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements
0dtbZ00000031QHQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzBQAU,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.,Vishwantha Gandloju,General Requirements;Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements
0dtbZ00000031QIQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzCQAU,"Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).",Vishwantha Gandloju,"General Requirements;Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).","Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements"
0dtbZ00000031QJQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzDQAU,A sharps container is not available and/or used.,Vishwantha Gandloju,General Requirements;A sharps container is not available and/or used.,A sharps container is not available and/or used.;General Requirements
0dtbZ00000031QLQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzFQAU,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,Vishwantha Gandloju,General Requirements;Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements
0dtbZ00000031QMQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzGQAU,General precautions are not taken to prevent cross-contamination.,Vishwantha Gandloju,General Requirements;General precautions are not taken to prevent cross-contamination.,General precautions are not taken to prevent cross-contamination.;General Requirements
0dtbZ00000031QNQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzHQAU,The operator and/or staff are not wearing clean outer garments.,Vishwantha Gandloju,General Requirements;The operator and/or staff are not wearing clean outer garments.,The operator and/or staff are not wearing clean outer garments.;General Requirements
0dtbZ00000031QOQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzIQAU,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).,Vishwantha Gandloju,General Requirements;The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).,The operator and/or staff are not immunized against Hepatitis B & Tetanus (recommended).;General Requirements
0dtbZ00000031QzQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements
0dtbZ00000031R0QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,Vishwantha Gandloju,General Requirements;The personal service establishment's operation has been reviewed and accepted.,The personal service establishment's operation has been reviewed and accepted.;General Requirements
0dtbZ00000031R1QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",Vishwantha Gandloju,"General Requirements;Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements"
0dtbZ00000031R2QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,Vishwantha Gandloju,General Requirements;Food and/or beverage are offered in an acceptable manner to clients.,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements
0dtbZ00000031R3QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzxQAE,Incompatible activity is not present.,Vishwantha Gandloju,General Requirements;Incompatible activity is not present.,Incompatible activity is not present.;General Requirements
0dtbZ00000031R4QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzyQAE,A first aid kit is available.,Vishwantha Gandloju,General Requirements;A first aid kit is available.,A first aid kit is available.;General Requirements
0dtbZ00000031R5QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,Vishwantha Gandloju,General Requirements;Adequate infection control measures are implemented.,Adequate infection control measures are implemented.;General Requirements
0dtbZ00000031R6QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000W00QAE,Adequate personal hygiene is practiced.,Vishwantha Gandloju,General Requirements;Adequate personal hygiene is practiced.,Adequate personal hygiene is practiced.;General Requirements
0dtbZ00000032EzQAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9ZQAU,Clients are not provided with UV radiation safety eyewear which covers the eyes securely.,Vishwantha Gandloju,Tanning;Clients are not provided with UV radiation safety eyewear which covers the eyes securely.,Clients are not provided with UV radiation safety eyewear which covers the eyes securely.;Tanning
0dtbZ00000032F0QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9aQAE,Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.,Vishwantha Gandloju,Tanning;Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.,Clients wearing protective eyewear are unable to see through them enough to read the labels and operate the controls on the tanning equipment.;Tanning
0dtbZ00000032F1QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9bQAE,Protective eyewear is not adequate for tanning equipment.,Vishwantha Gandloju,Tanning;Protective eyewear is not adequate for tanning equipment.,Protective eyewear is not adequate for tanning equipment.;Tanning
0dtbZ00000032F2QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9cQAE,UV radiation warning signs do not contain required information.,Vishwantha Gandloju,Tanning;UV radiation warning signs do not contain required information.,UV radiation warning signs do not contain required information.;Tanning
0dtbZ00000032F3QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9dQAE,UV radiation warning sign is not posted in plain view and easily readable.,Vishwantha Gandloju,Tanning;UV radiation warning sign is not posted in plain view and easily readable.,UV radiation warning sign is not posted in plain view and easily readable.;Tanning
0dtbZ00000032F4QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9eQAE,UV radiation warning sign is not posted in the client reception area.,Vishwantha Gandloju,Tanning;UV radiation warning sign is not posted in the client reception area.,UV radiation warning sign is not posted in the client reception area.;Tanning
0dtbZ00000032F5QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9fQAE,A trained operator is not on site at all times.,Vishwantha Gandloju,Tanning;A trained operator is not on site at all times.,A trained operator is not on site at all times.;Tanning
0dtbZ00000032F6QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9gQAE,A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.,Vishwantha Gandloju,Tanning;A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.,A photosensitivity agent list not available and reviewed between clients and personnel prior to the initial session and annually thereafter.;Tanning
0dtbZ00000032F7QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9hQAE,An individualized skin phototype evaluation is not provided for each client.,Vishwantha Gandloju,Tanning;An individualized skin phototype evaluation is not provided for each client.,An individualized skin phototype evaluation is not provided for each client.;Tanning
0dtbZ00000032F8QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9iQAE,The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.,Vishwantha Gandloju,Tanning;The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.,The operator does not instruct clients in maximum exposure time as per manufacturer's instructions.;Tanning
0dtbZ00000032F9QAI,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9jQAE,The operator does not ensure that the client does not exceed maximum exposure time.,Vishwantha Gandloju,Tanning;The operator does not ensure that the client does not exceed maximum exposure time.,The operator does not ensure that the client does not exceed maximum exposure time.;Tanning
0dtbZ00000032FAQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9kQAE,The operator does not instruct the client of the location of emergency shut off switch.,Vishwantha Gandloju,Tanning;The operator does not instruct the client of the location of emergency shut off switch.,The operator does not instruct the client of the location of emergency shut off switch.;Tanning
0dtbZ00000032FBQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9lQAE,Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.,Vishwantha Gandloju,Tanning;Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.,Use of tanning equipment by a minor under the age of 18 is not in accordance with the directions contained within the medical approval provided.;Tanning
0dtbZ00000032FCQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9mQAE,The operator does not verify identification and/or age documentation.,Vishwantha Gandloju,Tanning;The operator does not verify identification and/or age documentation.,The operator does not verify identification and/or age documentation.;Tanning
0dtbZ00000032FDQAY,0Z4bZ0000000I1lSAE,Tanning,0eubZ0000000W9nQAE,"Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.",Vishwantha Gandloju,"Tanning;Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.","Age restriction signage, as prescribed in the regulation, is not posted in a clearly visible location.;Tanning"
0dtbZ00000032FEQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9oQAE,Inadequate/unapproved sterilization method being used.,Vishwantha Gandloju,Tattoo & Body Piercing;Inadequate/unapproved sterilization method being used.,Inadequate/unapproved sterilization method being used.;Tattoo & Body Piercing
0dtbZ00000032FFQAY,0Z4bZ0000000I1mSAE,Tattoo & Body Piercing,0eubZ0000000W9pQAE,"Autoclave efficacy (biological, chemical, and physical) is not adequately verified.",Vishwantha Gandloju,"Tattoo & Body Piercing;Autoclave efficacy (biological, chemical, and physical) is not adequately verified.","Autoclave efficacy (biological, chemical, and physical) is not adequately verified.;Tattoo & Body Piercing"
