Id,AssessmentTaskDefinitionId,AssessmentTaskDefinition.Name,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,CreatedBy.Name,$$AssessmentTaskDefinition.Name$AssessmentIndDefinition.Name,AssessmentIndDefinition.$$Name$Category__c
0dtbZ00000031PNQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyHQAU,Construction or alterations has occurred without the review of an Environmental Health Officer.,Vishwantha Gandloju,General Requirements;Construction or alterations has occurred without the review of an Environmental Health Officer.,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements
0dtbZ00000031POQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyIQAU,Construction is not conducive to the hygenic or efficient practices or the services being provided.,Vishwantha Gandloju,General Requirements;Construction is not conducive to the hygenic or efficient practices or the services being provided.,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements
0dtbZ00000031PPQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyJQAU,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,Vishwantha Gandloju,General Requirements;Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements
0dtbZ00000031PQQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyKQAU,Using an unapproved water source.,Vishwantha Gandloju,General Requirements;Using an unapproved water source.,Using an unapproved water source.;General Requirements
0dtbZ00000031PRQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyLQAU,Premises is not equipped with mechanical ventilation.,Vishwantha Gandloju,General Requirements;Premises is not equipped with mechanical ventilation.,Premises is not equipped with mechanical ventilation.;General Requirements
0dtbZ00000031PSQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyMQAU,Handwashing facilities are not properly supplied and/or conveniently located.,Vishwantha Gandloju,General Requirements;Handwashing facilities are not properly supplied and/or conveniently located.,Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements
0dtbZ00000031PTQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyNQAU,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.,Vishwantha Gandloju,General Requirements;Premises is not equipped with a sink(s) for cleaning of equipment/instruments.,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements
0dtbZ00000031PUQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyOQAU,Backflow prevention devices not present where needed; cross-connections present.,Vishwantha Gandloju,General Requirements;Backflow prevention devices not present where needed; cross-connections present.,Backflow prevention devices not present where needed; cross-connections present.;General Requirements
0dtbZ00000031PVQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyPQAU,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.,Vishwantha Gandloju,General Requirements;Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements
0dtbZ00000031PWQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyQQAU,Premises has not been inspected or plans and procedures have not been reviewed.,Vishwantha Gandloju,General Requirements;Premises has not been inspected or plans and procedures have not been reviewed.,Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements
0dtbZ00000031PXQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyRQAU,"The work area is not clean, organized, free of clutter and well lit.",Vishwantha Gandloju,"General Requirements;The work area is not clean, organized, free of clutter and well lit.","The work area is not clean, organized, free of clutter and well lit.;General Requirements"
0dtbZ00000031PYQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VySQAU,Required supplies for services are not available and within easy reach.,Vishwantha Gandloju,General Requirements;Required supplies for services are not available and within easy reach.,Required supplies for services are not available and within easy reach.;General Requirements
0dtbZ00000031PZQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyTQAU,"Surfaces are constructed of rough, absorbent and/or porous materials.",Vishwantha Gandloju,"General Requirements;Surfaces are constructed of rough, absorbent and/or porous materials.","Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements"
0dtbZ00000031PaQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyUQAU,Storage for clean equipment is not separated from soiled equipment.,Vishwantha Gandloju,General Requirements;Storage for clean equipment is not separated from soiled equipment.,Storage for clean equipment is not separated from soiled equipment.;General Requirements
0dtbZ00000031PbQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyVQAU,"Instruments are not stored in a clean, covered container when not in use.",Vishwantha Gandloju,"General Requirements;Instruments are not stored in a clean, covered container when not in use.","Instruments are not stored in a clean, covered container when not in use.;General Requirements"
0dtbZ00000031PcQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyWQAU,Equipment is not maintained according to manufacturer.,Vishwantha Gandloju,General Requirements;Equipment is not maintained according to manufacturer.,Equipment is not maintained according to manufacturer.;General Requirements
0dtbZ00000031PdQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyXQAU,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.,Vishwantha Gandloju,General Requirements;Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements
0dtbZ00000031PeQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyYQAU,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.,Vishwantha Gandloju,General Requirements;Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements
0dtbZ00000031PfQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyZQAU,Disinfectant is not available or not at the appropriate concentration.,Vishwantha Gandloju,General Requirements;Disinfectant is not available or not at the appropriate concentration.,Disinfectant is not available or not at the appropriate concentration.;General Requirements
0dtbZ00000031PgQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyaQAE,Soiled laundry is not laundered after each client.,Vishwantha Gandloju,General Requirements;Soiled laundry is not laundered after each client.,Soiled laundry is not laundered after each client.;General Requirements
0dtbZ00000031PhQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VybQAE,Laundry service is not available.,Vishwantha Gandloju,General Requirements;Laundry service is not available.,Laundry service is not available.;General Requirements
0dtbZ00000031PiQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VycQAE,Backflow prevention devices are not installed.,Vishwantha Gandloju,General Requirements;Backflow prevention devices are not installed.,Backflow prevention devices are not installed.;General Requirements
0dtbZ00000031PjQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VydQAE,Food is prepared and served to clients without approval.,Vishwantha Gandloju,General Requirements;Food is prepared and served to clients without approval.,Food is prepared and served to clients without approval.;General Requirements
0dtbZ00000031PkQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyeQAE,Beverages are not served in single-service disposable cups.,Vishwantha Gandloju,General Requirements;Beverages are not served in single-service disposable cups.,Beverages are not served in single-service disposable cups.;General Requirements
0dtbZ00000031PlQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyfQAE,Premises is not separate from incompatible activities.,Vishwantha Gandloju,General Requirements;Premises is not separate from incompatible activities.,Premises is not separate from incompatible activities.;General Requirements
0dtbZ00000031PmQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VygQAE,A first aid kit is not available on site.,Vishwantha Gandloju,General Requirements;A first aid kit is not available on site.,A first aid kit is not available on site.;General Requirements
0dtbZ00000031PnQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyhQAE,Hands are not washed before and after each client/treatment/wearing gloves.,Vishwantha Gandloju,General Requirements;Hands are not washed before and after each client/treatment/wearing gloves.,Hands are not washed before and after each client/treatment/wearing gloves.;General Requirements
0dtbZ00000031PoQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyiQAE,"Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.",Vishwantha Gandloju,"General Requirements;Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.","Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.;General Requirements"
0dtbZ00000031PpQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyjQAE,Single use instruments are not discarded after each client.,Vishwantha Gandloju,General Requirements;Single use instruments are not discarded after each client.,Single use instruments are not discarded after each client.;General Requirements
0dtbZ00000031PqQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VykQAE,Disinfectant is expired and/or not used as per manufacturer's instructions.,Vishwantha Gandloju,General Requirements;Disinfectant is expired and/or not used as per manufacturer's instructions.,Disinfectant is expired and/or not used as per manufacturer's instructions.;General Requirements
0dtbZ00000031PrQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VylQAE,Gloves are not worn and changed between clients or as needed.,Vishwantha Gandloju,General Requirements;Gloves are not worn and changed between clients or as needed.,Gloves are not worn and changed between clients or as needed.;General Requirements
0dtbZ00000031PsQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VymQAE,"Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).",Vishwantha Gandloju,"General Requirements;Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).","Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).;General Requirements"
0dtbZ00000031PtQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VynQAE,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.,Vishwantha Gandloju,General Requirements;Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.;General Requirements
0dtbZ00000031PuQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyoQAE,Wax is not dispensed in a way that prevents contaminating the remaining portion.,Vishwantha Gandloju,General Requirements;Wax is not dispensed in a way that prevents contaminating the remaining portion.,Wax is not dispensed in a way that prevents contaminating the remaining portion.;General Requirements
0dtbZ00000031PvQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VypQAE,"Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.",Vishwantha Gandloju,"General Requirements;Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.","Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.;General Requirements"
0dtbZ00000031PwQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyqQAE,Client's skin is not cleaned and disinfected with antiseptic before procedure.,Vishwantha Gandloju,General Requirements;Client's skin is not cleaned and disinfected with antiseptic before procedure.,Client's skin is not cleaned and disinfected with antiseptic before procedure.;General Requirements
0dtbZ00000031PxQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyrQAE,Products are not dispensed in a manner to prevent contamination of bulk supplies.,Vishwantha Gandloju,General Requirements;Products are not dispensed in a manner to prevent contamination of bulk supplies.,Products are not dispensed in a manner to prevent contamination of bulk supplies.;General Requirements
0dtbZ00000031PyQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VysQAE,Sharps are not disposed of in an appropriate manner.,Vishwantha Gandloju,General Requirements;Sharps are not disposed of in an appropriate manner.,Sharps are not disposed of in an appropriate manner.;General Requirements
0dtbZ00000031PzQAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VytQAE,The tattoo area is not covered with a clean and non-stick dressing.,Vishwantha Gandloju,General Requirements;The tattoo area is not covered with a clean and non-stick dressing.,The tattoo area is not covered with a clean and non-stick dressing.;General Requirements
0dtbZ00000031Q0QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyuQAE,Clients are not provided with written and verbal aftercare instructions.,Vishwantha Gandloju,General Requirements;Clients are not provided with written and verbal aftercare instructions.,Clients are not provided with written and verbal aftercare instructions.;General Requirements
0dtbZ00000031Q1QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyvQAE,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.,Vishwantha Gandloju,General Requirements;Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements
0dtbZ00000031Q2QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VywQAE,Infection control plan is not available.,Vishwantha Gandloju,General Requirements;Infection control plan is not available.,Infection control plan is not available.;General Requirements
0dtbZ00000031Q3QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyxQAE,Clients do not wash their hands prior to their nail treatment.,Vishwantha Gandloju,General Requirements;Clients do not wash their hands prior to their nail treatment.,Clients do not wash their hands prior to their nail treatment.;General Requirements
0dtbZ00000031Q4QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyyQAE,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).,Vishwantha Gandloju,General Requirements;Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements
0dtbZ00000031Q5QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000VyzQAE,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.",Vishwantha Gandloju,"General Requirements;Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.","Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements"
0dtbZ00000031Q6QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz0QAE,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.",Vishwantha Gandloju,"General Requirements;Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.","Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements"
0dtbZ00000031Q7QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz1QAE,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).,Vishwantha Gandloju,General Requirements;Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements
0dtbZ00000031Q8QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz2QAE,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.,Vishwantha Gandloju,General Requirements;Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements
0dtbZ00000031Q9QAI,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz3QAE,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).",Vishwantha Gandloju,"General Requirements;Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).","Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements"
0dtbZ00000031QAQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz4QAE,Eyewear is not disinfected between clients.,Vishwantha Gandloju,General Requirements;Eyewear is not disinfected between clients.,Eyewear is not disinfected between clients.;General Requirements
0dtbZ00000031QBQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz5QAE,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.,Vishwantha Gandloju,General Requirements;A straight razor with a fixed blade is used but not cleaned and sterilized between uses.,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements
0dtbZ00000031QCQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz6QAE,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.,Vishwantha Gandloju,General Requirements;Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements
0dtbZ00000031QDQAY,0Z4bZ0000000HyXSAU,General Requirements,0eubZ0000000Vz7QAE,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.,Vishwantha Gandloju,General Requirements;Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements
