Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000JDxUAM,0eubZ0000000VztQAE,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements;PSE Guidelines,Operation of premises is in accordance with reviewed floor plans and specifications by the Environmental Health Officer.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JDyUAM,0eubZ0000000VzuQAE,The personal service establishment's operation has been reviewed and accepted.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,The personal service establishment's operation has been reviewed and accepted.;General Requirements;PSE Guidelines,The personal service establishment's operation has been reviewed and accepted.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JDzUAM,0eubZ0000000VzvQAE,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements;PSE Guidelines","Premises, work surfaces, instruments are adequately sanitized/disinfected and maintained.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE0UAM,0eubZ0000000VzwQAE,Food and/or beverage are offered in an acceptable manner to clients.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements;PSE Guidelines,Food and/or beverage are offered in an acceptable manner to clients.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE1UAM,0eubZ0000000VzxQAE,Incompatible activity is not present.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Incompatible activity is not present.;General Requirements;PSE Guidelines,Incompatible activity is not present.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE2UAM,0eubZ0000000VzyQAE,A first aid kit is available.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,A first aid kit is available.;General Requirements;PSE Guidelines,A first aid kit is available.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE3UAM,0eubZ0000000VzzQAE,Adequate infection control measures are implemented.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Adequate infection control measures are implemented.;General Requirements;PSE Guidelines,Adequate infection control measures are implemented.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE4UAM,0eubZ0000000W00QAE,Adequate personal hygiene is practiced.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Adequate personal hygiene is practiced.;General Requirements;PSE Guidelines,Adequate personal hygiene is practiced.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE5UAM,0eubZ0000000VyHQAU,Construction or alterations has occurred without the review of an Environmental Health Officer.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements;PSE Guidelines,Construction or alterations has occurred without the review of an Environmental Health Officer.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE6UAM,0eubZ0000000VyIQAU,Construction is not conducive to the hygenic or efficient practices or the services being provided.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements;PSE Guidelines,Construction is not conducive to the hygenic or efficient practices or the services being provided.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE7UAM,0eubZ0000000VyJQAU,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.,General Requirements,0fCbZ0000000GPmUAM,Section 3,Vishwantha Gandloju,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements;Section 3,Potable hot and cold running water are not available and/or in sufficient quantity and pressure to meet the needs of the premises.;General Requirements,Section 3;Regulated Activities Regulation
0fMbZ0000000JE8UAM,0eubZ0000000VyKQAU,Using an unapproved water source.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Using an unapproved water source.;General Requirements;PSE Guidelines,Using an unapproved water source.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JE9UAM,0eubZ0000000VyLQAU,Premises is not equipped with mechanical ventilation.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Premises is not equipped with mechanical ventilation.;General Requirements;PSE Guidelines,Premises is not equipped with mechanical ventilation.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
