Id,AssessmentIndDefinitionId,AssessmentIndDefinition.Name,AssessmentIndDefinition.Category__c,RegulatoryCodeId,RegulatoryCode.Name,CreatedBy.Name,$$AssessmentIndDefinition.Name$AssessmentIndDefinition.Category__c$RegulatoryCode.Name,AssessmentIndDefinition.$$Name$Category__c,RegulatoryCode.$$Name$RegulatoryAuthority.Name
0fMbZ0000000JEAUA2,0eubZ0000000VyMQAU,Handwashing facilities are not properly supplied and/or conveniently located.,General Requirements,0fCbZ0000000GPmUAM,Section 3,Vishwantha Gandloju,Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements;Section 3,Handwashing facilities are not properly supplied and/or conveniently located.;General Requirements,Section 3;Regulated Activities Regulation
0fMbZ0000000JEBUA2,0eubZ0000000VyNQAU,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements;PSE Guidelines,Premises is not equipped with a sink(s) for cleaning of equipment/instruments.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JECUA2,0eubZ0000000VyOQAU,Backflow prevention devices not present where needed; cross-connections present.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Backflow prevention devices not present where needed; cross-connections present.;General Requirements;PSE Guidelines,Backflow prevention devices not present where needed; cross-connections present.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEDUA2,0eubZ0000000VyPQAU,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements;PSE Guidelines,Premises and/or services has not obtained an Environmental Health Officer's acceptance/review to operate.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEEUA2,0eubZ0000000VyQQAU,Premises has not been inspected or plans and procedures have not been reviewed.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements;PSE Guidelines,Premises has not been inspected or plans and procedures have not been reviewed.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEFUA2,0eubZ0000000VyRQAU,"The work area is not clean, organized, free of clutter and well lit.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"The work area is not clean, organized, free of clutter and well lit.;General Requirements;PSE Guidelines","The work area is not clean, organized, free of clutter and well lit.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEGUA2,0eubZ0000000VySQAU,Required supplies for services are not available and within easy reach.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Required supplies for services are not available and within easy reach.;General Requirements;PSE Guidelines,Required supplies for services are not available and within easy reach.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEHUA2,0eubZ0000000VyTQAU,"Surfaces are constructed of rough, absorbent and/or porous materials.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements;PSE Guidelines","Surfaces are constructed of rough, absorbent and/or porous materials.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEIUA2,0eubZ0000000VyUQAU,Storage for clean equipment is not separated from soiled equipment.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Storage for clean equipment is not separated from soiled equipment.;General Requirements;PSE Guidelines,Storage for clean equipment is not separated from soiled equipment.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEJUA2,0eubZ0000000VyVQAU,"Instruments are not stored in a clean, covered container when not in use.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Instruments are not stored in a clean, covered container when not in use.;General Requirements;PSE Guidelines","Instruments are not stored in a clean, covered container when not in use.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEKUA2,0eubZ0000000VyWQAU,Equipment is not maintained according to manufacturer.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Equipment is not maintained according to manufacturer.;General Requirements;PSE Guidelines,Equipment is not maintained according to manufacturer.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JELUA2,0eubZ0000000VyXQAU,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;PSE Guidelines,Work surfaces are not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEMUA2,0eubZ0000000VyYQAU,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements;PSE Guidelines,Equipment is not cleaned and disinfected with an appropriate disinfectant after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JENUA2,0eubZ0000000VyZQAU,Disinfectant is not available or not at the appropriate concentration.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Disinfectant is not available or not at the appropriate concentration.;General Requirements;PSE Guidelines,Disinfectant is not available or not at the appropriate concentration.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEOUA2,0eubZ0000000VyaQAE,Soiled laundry is not laundered after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Soiled laundry is not laundered after each client.;General Requirements;PSE Guidelines,Soiled laundry is not laundered after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEPUA2,0eubZ0000000VybQAE,Laundry service is not available.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Laundry service is not available.;General Requirements;PSE Guidelines,Laundry service is not available.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEQUA2,0eubZ0000000VycQAE,Backflow prevention devices are not installed.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Backflow prevention devices are not installed.;General Requirements;PSE Guidelines,Backflow prevention devices are not installed.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JERUA2,0eubZ0000000VydQAE,Food is prepared and served to clients without approval.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Food is prepared and served to clients without approval.;General Requirements;PSE Guidelines,Food is prepared and served to clients without approval.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JESUA2,0eubZ0000000VyeQAE,Beverages are not served in single-service disposable cups.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Beverages are not served in single-service disposable cups.;General Requirements;PSE Guidelines,Beverages are not served in single-service disposable cups.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JETUA2,0eubZ0000000VyfQAE,Premises is not separate from incompatible activities.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Premises is not separate from incompatible activities.;General Requirements;PSE Guidelines,Premises is not separate from incompatible activities.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEUUA2,0eubZ0000000VygQAE,A first aid kit is not available on site.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,A first aid kit is not available on site.;General Requirements;PSE Guidelines,A first aid kit is not available on site.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEVUA2,0eubZ0000000VyhQAE,Hands are not washed before and after each client/treatment/wearing gloves.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Hands are not washed before and after each client/treatment/wearing gloves.;General Requirements;PSE Guidelines,Hands are not washed before and after each client/treatment/wearing gloves.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEWUA2,0eubZ0000000VyiQAE,"Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.;General Requirements;PSE Guidelines","Reusable instruments are not cleaned with soap and water, then disinfected at the appropriate level.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEXUA2,0eubZ0000000VyjQAE,Single use instruments are not discarded after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Single use instruments are not discarded after each client.;General Requirements;PSE Guidelines,Single use instruments are not discarded after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEYUA2,0eubZ0000000VykQAE,Disinfectant is expired and/or not used as per manufacturer's instructions.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Disinfectant is expired and/or not used as per manufacturer's instructions.;General Requirements;PSE Guidelines,Disinfectant is expired and/or not used as per manufacturer's instructions.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEZUA2,0eubZ0000000VylQAE,Gloves are not worn and changed between clients or as needed.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Gloves are not worn and changed between clients or as needed.;General Requirements;PSE Guidelines,Gloves are not worn and changed between clients or as needed.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEaUAM,0eubZ0000000VymQAE,"Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).;General Requirements;PSE Guidelines","Client's skin is not examined prior to waxing (do not wax broken, infected or irritated skin).;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEbUAM,0eubZ0000000VynQAE,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.;General Requirements;PSE Guidelines,Client's skin is not cleaned and disinfected with a skin antiseptic prior to waxing.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEcUAM,0eubZ0000000VyoQAE,Wax is not dispensed in a way that prevents contaminating the remaining portion.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Wax is not dispensed in a way that prevents contaminating the remaining portion.;General Requirements;PSE Guidelines,Wax is not dispensed in a way that prevents contaminating the remaining portion.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEdUAM,0eubZ0000000VypQAE,"Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.;General Requirements;PSE Guidelines","Sterilized, single use, pre-sterilized equipment is compromised or expired and still in use.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEeUAM,0eubZ0000000VyqQAE,Client's skin is not cleaned and disinfected with antiseptic before procedure.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Client's skin is not cleaned and disinfected with antiseptic before procedure.;General Requirements;PSE Guidelines,Client's skin is not cleaned and disinfected with antiseptic before procedure.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEfUAM,0eubZ0000000VyrQAE,Products are not dispensed in a manner to prevent contamination of bulk supplies.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Products are not dispensed in a manner to prevent contamination of bulk supplies.;General Requirements;PSE Guidelines,Products are not dispensed in a manner to prevent contamination of bulk supplies.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEgUAM,0eubZ0000000VysQAE,Sharps are not disposed of in an appropriate manner.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Sharps are not disposed of in an appropriate manner.;General Requirements;PSE Guidelines,Sharps are not disposed of in an appropriate manner.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEhUAM,0eubZ0000000VytQAE,The tattoo area is not covered with a clean and non-stick dressing.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,The tattoo area is not covered with a clean and non-stick dressing.;General Requirements;PSE Guidelines,The tattoo area is not covered with a clean and non-stick dressing.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEiUAM,0eubZ0000000VyuQAE,Clients are not provided with written and verbal aftercare instructions.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Clients are not provided with written and verbal aftercare instructions.;General Requirements;PSE Guidelines,Clients are not provided with written and verbal aftercare instructions.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEjUAM,0eubZ0000000VyvQAE,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements;PSE Guidelines,Inadequate measures are in place to prevent potential transmission of bloodborne pathogens and/or cross-contamination.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEkUAM,0eubZ0000000VywQAE,Infection control plan is not available.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Infection control plan is not available.;General Requirements;PSE Guidelines,Infection control plan is not available.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JElUAM,0eubZ0000000VyxQAE,Clients do not wash their hands prior to their nail treatment.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Clients do not wash their hands prior to their nail treatment.;General Requirements;PSE Guidelines,Clients do not wash their hands prior to their nail treatment.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEmUAM,0eubZ0000000VyyQAE,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements;PSE Guidelines,Client's nails are not examined for infection prior to offering the service (Do not provide nail service for a client who has signs of a nail infection).;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEnUAM,0eubZ0000000VyzQAE,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements;PSE Guidelines","Single-use blades are not placed in a puncture resistant, leak-proof container with a tight-fitting lid and properly labelled with a biohazard sign after each use.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEoUAM,0eubZ0000000Vz0QAE,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements;PSE Guidelines","Instruments are not cleaned with soap and warm water, rinsed and then intermediate or high-level disinfected after each client.;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEpUAM,0eubZ0000000Vz1QAE,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements;PSE Guidelines,Instruments that break the skin during a procedure are not cleaned and then high level disinfected (sterilization is preferred).;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEqUAM,0eubZ0000000Vz2QAE,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements;PSE Guidelines,Oil-based products are used in the footbath or on the client's feet or legs before they use a footbath.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JErUAM,0eubZ0000000Vz3QAE,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements;PSE Guidelines","Client's skin is not examined prior to laser use (do not laser broken, infected or irritated skin).;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEsUAM,0eubZ0000000Vz4QAE,Eyewear is not disinfected between clients.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Eyewear is not disinfected between clients.;General Requirements;PSE Guidelines,Eyewear is not disinfected between clients.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEtUAM,0eubZ0000000Vz5QAE,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements;PSE Guidelines,A straight razor with a fixed blade is used but not cleaned and sterilized between uses.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEuUAM,0eubZ0000000Vz6QAE,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements;PSE Guidelines,Hair cutting razors do not have a proper guard and/or are not cleaned and intermediate-level disinfected after each use.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEvUAM,0eubZ0000000Vz7QAE,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements;PSE Guidelines,Needles for hair weaves and extensions are not discarded in an approved sharps container after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEwUAM,0eubZ0000000Vz8QAE,A new sanitary strip or clean towel for the client is not available.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,A new sanitary strip or clean towel for the client is not available.;General Requirements;PSE Guidelines,A new sanitary strip or clean towel for the client is not available.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JExUAM,0eubZ0000000Vz9QAE,Piercing guns are used for body piercing.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Piercing guns are used for body piercing.;General Requirements;PSE Guidelines,Piercing guns are used for body piercing.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEyUAM,0eubZ0000000VzAQAU,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements;PSE Guidelines,Skin is not cleansed with soap and swabbed with an antiseptic before piercing.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JEzUAM,0eubZ0000000VzBQAU,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements;PSE Guidelines,Disposable products are not stored in closeable clean containers and not removed with sterile forceps or a fresh pair of gloves.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JF0UAM,0eubZ0000000VzCQAU,"Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).",General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,"Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements;PSE Guidelines","Jewelry used could be allergenic (i.e. stainless steel, 14 or 18 carat gold, niobium or titanium).;General Requirements",PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JF1UAM,0eubZ0000000VzDQAU,A sharps container is not available and/or used.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,A sharps container is not available and/or used.;General Requirements;PSE Guidelines,A sharps container is not available and/or used.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JF3UAM,0eubZ0000000VzFQAU,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements;PSE Guidelines,Equipment is not protected from blood splatter by plastic bags or plastic wrap and replaced after each client.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
0fMbZ0000000JF4UAM,0eubZ0000000VzGQAU,General precautions are not taken to prevent cross-contamination.,General Requirements,0fCbZ0000000GPlUAM,PSE Guidelines,Vishwantha Gandloju,General precautions are not taken to prevent cross-contamination.;General Requirements;PSE Guidelines,General precautions are not taken to prevent cross-contamination.;General Requirements,PSE Guidelines;Health Protection Branch Ministry of Health
